PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,4098438045,0.70342135,0.33292454,-0.36025238,0.5143714,-0.09690234810113907,-0.07945183664560318,-0.1629948914051056,-0.2644375264644623,0.5566128492355347, -0.02326594665646553
2,4098454712,0.70292526,0.33309466,-0.36018944,0.51498324,13.514365196228027,1.443709373474121,8.179130554199219,2.8637115955352783,2.4107892513275146, -0.7538331151008606
3,4098471379,0.7022648,0.3328854,-0.36073375,0.51563805,13.346540451049805,1.5017690658569336,7.924910068511963,1.070425271987915,2.1412155628204346, -0.7532311081886292
4,4098488046,0.70189255,0.3333218,-0.3616673,0.515209,13.358781814575195,1.599591851234436,8.10886001586914,1.6620018482208252,2.6412394046783447, -0.5696648955345154
5,4098504713,0.7020277,0.33363986,-0.3616395,0.5148382,13.247379302978516,1.5472062826156616,8.037149429321289,-0.13349339365959167,2.783005952835083, -0.4643838703632355
6,4098521380,0.70217216,0.3337819,-0.36134216,0.514758,13.605437278747559,1.5421090126037598,8.135847091674805,-0.6457090377807617,2.7122249603271484, -0.18315641582012177
7,4098538047,0.7022235,0.3338958,-0.3612135,0.51470435,13.246557235717773,1.3757680654525757,7.924924373626709,-0.15295903384685516,2.6423916816711426, -0.03676702827215195
8,4098554714,0.7020817,0.33395,-0.36102512,0.51499486,13.34785270690918,1.4508262872695923,8.135479927062988,0.9500837922096252,3.361621856689453, -0.3515855073928833
9,4098571381,0.7021062,0.3337358,-0.36078483,0.5152687,13.67884349822998,1.5366435050964355,8.108526229858398,0.7081592082977295,3.6987621784210205, -0.0932302325963974
10,4098588048,0.70219535,0.33353487,-0.3606664,0.51536024,13.175827026367188,1.404752254486084,7.963935375213623,-0.029800379648804665,3.739537477493286, -0.3714737892150879
11,4098604715,0.7024047,0.33316293,-0.3605392,0.5154045,13.462882041931152,1.5133360624313354,8.26386833190918,-0.7439849972724915,4.177911758422852, -0.6452351808547974
12,4098621382,0.70255506,0.33288842,-0.3602908,0.5155507,13.219330787658691,1.4958584308624268,8.124621391296387,0.23684705793857574,3.699978828430176, -0.3368966579437256
13,4098638049,0.7027057,0.33267432,-0.3600292,0.5156663,13.363608360290527,1.2171484231948853,8.14611530303955,-0.016801932826638222,2.9873692989349365, -0.7087290287017822
14,4098654716,0.7026041,0.33263776,-0.35972324,0.5160417,13.331292152404785,1.4912868738174438,8.214415550231934,1.8043185472488403,2.416461944580078, -0.38609862327575684
15,4098671383,0.7025748,0.33259362,-0.359488,0.5162736,13.303154945373535,1.36275315284729,8.143064498901367,1.4225742816925049,1.7972753047943115, -0.523792564868927
16,4098688050,0.7025884,0.332487,-0.35929805,0.5164561,13.44870376586914,1.5331326723098755,8.078803062438965,1.4936238527297974,1.8715777397155762, -0.30433008074760437
17,4098704717,0.70273113,0.33222982,-0.35924357,0.5164652,13.168245315551758,1.4288783073425293,8.027691841125488,0.2783012092113495,2.0894906520843506, -0.09258991479873657
18,4098721384,0.702908,0.33193752,-0.3590762,0.5165292,13.418915748596191,1.5766654014587402,8.090269088745117,-0.19437478482723236,2.9047939777374268, -0.48605215549468994
