X,Y,Z,mag
-0.32452,-1.561112,0.1098,1.6
-0.338184,-1.564528,0.075152,1.6
-0.325984,-1.550376,0.076616,1.59
-0.334768,-1.536712,0.072712,1.57
-0.334768,-1.5220719999999999,0.077592,1.56
-0.340624,-1.525976,0.073688,1.57
-0.35770399999999997,-1.52256,0.060024,1.57
-0.36697599999999997,-1.5196319999999999,0.06344,1.56
-0.349896,-1.521096,0.071736,1.56
-0.342576,-1.50792,0.09467199999999999,1.55
-0.328912,-1.499624,0.078568,1.54
-0.34355199999999997,-1.505968,0.055144,1.55
-0.34355199999999997,-1.496208,0.043432,1.54
-0.35526399999999997,-1.48108,0.048312,1.52
-0.345504,-1.48108,0.042943999999999996,1.52
-0.35282399999999997,-1.4727839999999999,0.052704,1.52
-0.371856,-1.474248,0.040992,1.52
-0.371856,-1.470832,0.046848,1.52
-0.350872,-1.464,0.033672,1.51
-0.35624,-1.45424,0.016104,1.5
-0.386008,-1.445944,0.00976,1.5
-0.38356799999999996,-1.44692,0.0068319999999999995,1.5
-0.38112799999999997,-1.444968,0.011224,1.49
-0.386496,-1.450336,0.013176,1.5
-0.385032,-1.439112,0.000488,1.49
-0.380152,-1.421544,0.0068319999999999995,1.47
-0.38795999999999997,-1.4210559999999999,-0.00488,1.47
-0.381616,-1.411784,-0.007808,1.46
-0.388936,-1.397144,-0.015127999999999999,1.45
-0.392352,-1.39812,-0.01464,1.45
-0.38795999999999997,-1.404464,-0.030255999999999998,1.46
-0.393328,-1.404464,-0.041479999999999996,1.46
-0.39772,-1.387384,-0.057583999999999996,1.44
-0.41724,-1.380064,-0.048799999999999996,1.44
-0.39967199999999997,-1.39324,-0.035136,1.45
-0.403576,-1.386896,-0.028304,1.44
-0.401624,-1.3717679999999999,-0.07417599999999999,1.43
-0.410896,-1.357128,-0.055632,1.42
-0.410896,-1.3664,-0.057583999999999996,1.43
-0.432368,-1.3620079999999999,-0.060511999999999996,1.43
-0.433832,-1.340048,-0.077592,1.41
-0.4392,-1.3346799999999999,-0.093696,1.41
-0.4392,-1.325408,-0.08784,1.4
-0.436272,-1.324432,-0.062464,1.4
-0.44212799999999997,-1.331752,-0.053191999999999996,1.4
-0.440664,-1.318088,-0.061488,1.39
-0.447008,-1.309304,-0.098576,1.39
-0.449936,-1.299056,-0.098088,1.38
-0.447496,-1.2853919999999999,-0.086376,1.36
-0.464088,-1.297104,-0.078568,1.38
-0.476288,-1.301008,-0.082472,1.39
-0.46799199999999996,-1.291248,-0.08881599999999999,1.38
-0.471896,-1.288808,-0.081496,1.37
-0.4758,-1.28832,-0.096624,1.38
-0.466528,-1.277096,-0.101992,1.36
-0.473848,-1.259528,-0.11712,1.35
-0.476288,-1.253672,-0.120048,1.35
-0.475312,-1.246352,-0.115656,1.34
-0.48068,-1.226832,-0.13663999999999998,1.32
-0.494344,-1.23464,-0.108824,1.33
-0.492392,-1.23464,-0.122976,1.33
-0.49776,-1.221952,-0.130296,1.33
-0.492392,-1.21512,-0.132736,1.32
-0.483608,-1.213656,-0.142984,1.31
-0.48897599999999997,-1.222928,-0.133712,1.32
-0.49044,-1.222928,-0.14249599999999998,1.33
-0.49532,-1.21024,-0.169336,1.32
-0.49776,-1.210728,-0.206424,1.33
-0.5206959999999999,-1.203408,-0.206424,1.33
-0.528992,-1.192672,-0.179096,1.32
-0.53192,-1.179008,-0.185928,1.31
-0.523624,-1.175104,-0.184952,1.3
-0.521672,-1.175104,-0.205448,1.3
-0.510936,-1.160952,-0.21862399999999999,1.29
-0.53192,-1.153632,-0.214232,1.29
-0.534848,-1.148264,-0.23912,1.29
-0.537776,-1.138016,-0.25864,1.28
-0.543632,-1.134112,-0.249856,1.28
-0.535336,-1.133136,-0.233264,1.27
-0.526552,-1.126304,-0.241072,1.27
-0.537288,-1.119472,-0.265472,1.27
-0.545096,-1.121424,-0.269864,1.28
-0.552904,-1.107272,-0.28548,1.27
-0.5465599999999999,-1.108248,-0.291824,1.27
-0.552416,-1.10776,-0.29036,1.27
-0.558272,-1.078968,-0.289872,1.25
-0.5626639999999999,-1.084336,-0.2928,1.26
-0.5734,-1.080432,-0.305488,1.26
-0.574376,-1.06384,-0.309392,1.25
-0.559736,-1.057008,-0.307928,1.24
-0.548024,-1.054568,-0.30744,1.23
-0.5392399999999999,-1.05408,-0.319152,1.23
-0.5416799999999999,-1.048712,-0.33916,1.23
-0.5416799999999999,-1.039928,-0.372344,1.23
-0.569008,-1.031144,-0.371856,1.24
-0.57584,-1.026264,-0.36941599999999997,1.23
-0.5675439999999999,-1.032608,-0.350384,1.23
-0.561688,-1.0316319999999999,-0.35624,1.23
-0.559736,-1.01504,-0.360632,1.21
-0.553392,-0.999912,-0.350384,1.2
-0.553392,-0.999424,-0.359168,1.2
-0.550464,-1.01504,-0.394792,1.22
-0.560712,-1.01504,-0.39527999999999996,1.23
-0.557296,-0.991128,-0.388448,1.2
-0.537776,-0.97844,-0.384544,1.18
-0.510936,-0.962824,-0.394792,1.16
-0.530456,-0.972584,-0.418216,1.18
-0.549488,-0.9803919999999999,-0.426024,1.2
-0.540704,-0.960384,-0.40992,1.18
-0.548024,-0.974536,-0.4148,1.19
-0.549,-0.952576,-0.43041599999999997,1.18
-0.538752,-0.9545279999999999,-0.43432,1.18
-0.528016,-0.9545279999999999,-0.431392,1.17
-0.5441199999999999,-0.935008,-0.442616,1.17
-0.544608,-0.939888,-0.451888,1.18
-0.5416799999999999,-0.931592,-0.440664,1.16
-0.5367999999999999,-0.92964,-0.420656,1.15
-0.547048,-0.937448,-0.470432,1.18
-0.5465599999999999,-0.925248,-0.46604,1.17
-0.533872,-0.925248,-0.4758,1.17
-0.528504,-0.904264,-0.459696,1.14
-0.52216,-0.9027999999999999,-0.447496,1.13
-0.540704,-0.908656,-0.469944,1.16
-0.563152,-0.913048,-0.467504,1.17
-0.549976,-0.915488,-0.451888,1.16
-0.530944,-0.901336,-0.430904,1.13
-0.52704,-0.902312,-0.440664,1.13
-0.542656,-0.908656,-0.489464,1.17
-0.543144,-0.904264,-0.508008,1.17
-0.541192,-0.8866959999999999,-0.476776,1.14
-0.533384,-0.870592,-0.4636,1.12
