X,Y,Z,mag
0.034159999999999996,-0.161528,-0.054655999999999996,0.17
0.042943999999999996,-0.16348,-0.0366,0.17
0.055632,-0.155672,-0.015127999999999999,0.17
0.045384,-0.158112,-0.023424,0.17
0.031232,-0.155672,-0.053191999999999996,0.17
0.029768,-0.158112,-0.043432,0.17
0.033184,-0.159576,-0.04392,0.17
0.020007999999999998,-0.157624,-0.031232,0.16
0.00488,-0.162992,-0.032695999999999996,0.17
0.011712,-0.162992,-0.02928,0.17
-0.001464,-0.162016,-0.028304,0.16
-0.00488,-0.152256,-0.031232,0.16
-0.02196,-0.166896,-0.034159999999999996,0.17
-0.032695999999999996,-0.183976,-0.041479999999999996,0.19
-0.02196,-0.169336,-0.030744,0.17
-0.031232,-0.17177599999999998,-0.023424,0.18
-0.035136,-0.17177599999999998,-0.015127999999999999,0.18
-0.04392,-0.17324,-0.013176,0.18
-0.058072,-0.183976,0.001464,0.19
-0.056119999999999996,-0.17812,0.000488,0.19
-0.062952,-0.176168,-0.005856,0.19
-0.067832,-0.178608,0.00244,0.19
-0.052704,-0.167384,0.002928,0.18
-0.062952,-0.183976,0.005856,0.19
-0.069296,-0.203008,0.001464,0.21
-0.073688,-0.183,-0.015127999999999999,0.2
-0.08588799999999999,-0.186904,-0.001464,0.21
-0.096624,-0.18056,0.0034159999999999998,0.2
-0.094184,-0.18348799999999998,0.035136,0.21
-0.098088,-0.196176,0.0053679999999999995,0.22
-0.10736,-0.19763999999999998,0.009271999999999999,0.23
-0.110288,-0.17763199999999998,-0.005856,0.21
-0.10736,-0.192272,0.0053679999999999995,0.22
-0.120048,-0.196176,-0.001464,0.23
-0.115656,-0.186416,0.009271999999999999,0.22
-0.103944,-0.18544,0.025376,0.21
-0.10492,-0.191296,0.040504,0.22
-0.10736,-0.194224,0.040504,0.23
-0.122,-0.19178399999999998,0.030744,0.23
-0.125416,-0.191296,0.015616,0.23
-0.124928,-0.197152,0.001464,0.23
-0.127856,-0.193248,0.01464,0.23
-0.139568,-0.182024,0.018543999999999998,0.23
-0.150792,-0.193248,0.018543999999999998,0.25
-0.146888,-0.184952,0.012688,0.24
-0.1464,-0.18056,0.00976,0.23
-0.159576,-0.181048,0.022448,0.24
-0.150304,-0.169336,0.032208,0.23
-0.19032,-0.201544,0.013663999999999999,0.28
-0.164456,-0.199104,0.016592,0.26
-0.162016,-0.152744,0.024888,0.22
-0.174216,-0.171288,0.01952,0.25
-0.18348799999999998,-0.183,0.037576,0.26
-0.159576,-0.184952,0.0366,0.25
-0.158112,-0.166408,0.044407999999999996,0.23
-0.20105599999999998,-0.170312,0.04636,0.27
-0.206424,-0.171288,0.042456,0.27
-0.19032,-0.17812,0.06588,0.27
-0.18934399999999998,-0.16348,0.067344,0.26
-0.18934399999999998,-0.15616,0.045871999999999996,0.25
-0.202032,-0.1464,0.030744,0.25
-0.210328,-0.14835199999999998,0.034648,0.26
-0.2196,-0.149816,0.093208,0.28
-0.21520799999999998,-0.1464,0.0854,0.27
-0.208864,-0.147864,0.05856,0.26
-0.217648,-0.14152,0.046848,0.26
-0.202032,-0.127856,0.04392,0.24
-0.210816,-0.125416,0.050752,0.25
-0.226432,-0.127856,0.044896,0.26
-0.233264,-0.127856,0.04636,0.27
-0.243024,-0.122488,0.058072,0.28
-0.24156,-0.123464,0.059536,0.28
-0.25376,-0.122976,0.059047999999999996,0.29
-0.258152,-0.125904,0.049776,0.29
-0.249856,-0.12444,0.066856,0.29
-0.255712,-0.12102399999999999,0.044407999999999996,0.29
-0.257176,-0.1098,0.04392,0.28
-0.252296,-0.10931199999999999,0.029768,0.28
-0.262056,-0.107848,0.041968,0.29
-0.274256,-0.104432,0.050263999999999996,0.3
-0.272792,-0.09759999999999999,0.039528,0.29
-0.290848,-0.098088,0.045871999999999996,0.31
-0.293776,-0.096136,0.048312,0.31
-0.30256,-0.095648,0.057096,0.32
-0.306952,-0.097112,0.050263999999999996,0.33
-0.298168,-0.10345599999999999,0.029768,0.32
-0.321592,-0.09516,0.016592,0.34
-0.319152,-0.101992,0.047335999999999996,0.34
-0.325008,-0.104432,0.047824,0.34
-0.333792,-0.08052,0.052216,0.35
-0.34111199999999997,-0.067344,0.040015999999999996,0.35
-0.334768,-0.08052,0.054168,0.35
-0.33672,-0.09272,0.053191999999999996,0.35
-0.348432,-0.09272,0.040992,0.36
-0.342576,-0.09272,0.039528,0.36
-0.34404,-0.094184,0.033184,0.36
-0.359168,-0.083936,0.040015999999999996,0.37
-0.353312,-0.081496,0.061,0.37
-0.366,-0.088328,0.035136,0.38
-0.357216,-0.073688,0.046848,0.37
-0.363072,-0.074664,0.040992,0.37
-0.360144,-0.062952,0.0366,0.37
-0.367464,-0.07808,0.047335999999999996,0.38
-0.375272,-0.07076,0.043432,0.38
-0.371856,-0.064416,0.04392,0.38
-0.37088,-0.081496,0.035136,0.38
-0.373808,-0.07808,0.00976,0.38
-0.385032,-0.078568,0.022935999999999998,0.39
-0.376736,-0.062464,0.045871999999999996,0.38
-0.369904,-0.060024,0.062464,0.38
-0.382592,-0.082472,0.038064,0.39
-0.38552,-0.076128,0.028304,0.39
-0.395768,-0.06588,0.02684,0.4
-0.396744,-0.059536,0.044407999999999996,0.4
-0.391864,-0.073688,0.040504,0.4
-0.39283999999999997,-0.07564,0.029768,0.4
-0.39527999999999996,-0.069296,0.03172,0.4
-0.401136,-0.07076,0.060511999999999996,0.41
-0.38112799999999997,-0.064416,0.057096,0.39
-0.379664,-0.0732,0.04636,0.39
-0.387472,-0.076128,0.030255999999999998,0.4
-0.38356799999999996,-0.066368,0.037576,0.39
-0.384056,-0.063928,0.036112,0.39
-0.38356799999999996,-0.050752,0.044896,0.39
-0.406504,-0.069784,0.056119999999999996,0.42
-0.40016,-0.058072,0.039528,0.41
-0.389424,-0.064904,0.051727999999999996,0.4
-0.404064,-0.064416,0.054168,0.41
-0.388448,-0.053191999999999996,0.056119999999999996,0.4
-0.384544,-0.05124,0.082472,0.4
-0.381616,-0.076128,0.0854,0.4
-0.49532,-0.068808,0.070272,0.5
-0.379664,-0.062952,0.054655999999999996,0.39
-0.382592,-0.061,0.061488,0.39
-0.374296,-0.057583999999999996,0.063928,0.38
-0.373808,-0.06539199999999999,0.078568,0.39
-0.38112799999999997,-0.076616,0.077592,0.4
-0.382104,-0.05856,0.07124799999999999,0.39
-0.370392,-0.056119999999999996,0.081008,0.38
-0.340136,-0.066856,0.081984,0.36
-0.346968,-0.067344,0.074664,0.36
-0.36453599999999997,-0.07710399999999999,0.06539199999999999,0.38
-0.360632,-0.08295999999999999,0.061,0.38
-0.354776,-0.070272,0.12834399999999999,0.38
-0.338672,-0.072224,0.120536,0.37
-0.323544,-0.07808,0.101016,0.35
-0.328912,-0.079544,0.091256,0.35
-0.32452,-0.079056,0.09028,0.35
-0.328424,-0.073688,0.096624,0.35
-0.32208,-0.066368,0.07808,0.34
-0.32208,-0.081008,0.081008,0.34
-0.318176,-0.081008,0.096136,0.34
-0.288896,-0.082472,0.092232,0.31
-0.29670399999999997,-0.072224,0.095648,0.32
-0.299632,-0.07124799999999999,0.110776,0.33
-0.277672,-0.083936,0.12102399999999999,0.31
-0.281576,-0.0854,0.10931199999999999,0.31
-0.269864,-0.093208,0.10638399999999999,0.3
-0.26108,-0.09174399999999999,0.08784,0.29
-0.255224,-0.09174399999999999,0.09516,0.29
-0.250344,-0.08881599999999999,0.101016,0.28
-0.242536,-0.102968,0.087352,0.28
-0.24790399999999999,-0.099064,0.092232,0.28
-0.239608,-0.094184,0.105408,0.28
-0.226432,-0.096624,0.127856,0.28
-0.225456,-0.078568,0.119072,0.27
-0.2196,-0.099552,0.10052799999999999,0.26
-0.228384,-0.10492,0.110288,0.27
-0.223016,-0.105896,0.101504,0.27
-0.208376,-0.111264,0.111264,0.26
-0.21228,-0.104432,0.105408,0.26
-0.204472,-0.10736,0.10248,0.25
-0.20105599999999998,-0.11468,0.103944,0.25
-0.191296,-0.112728,0.096136,0.24
-0.184464,-0.107848,0.096624,0.23
-0.183,-0.114192,0.086376,0.23
-0.175192,-0.12395199999999999,0.101016,0.24
-0.17177599999999998,-0.12932,0.106872,0.24
-0.15616,-0.12834399999999999,0.081984,0.22
-0.159576,-0.123464,0.09467199999999999,0.22
-0.159088,-0.128832,0.102968,0.23
-0.160552,-0.116632,0.117608,0.23
-0.1586,-0.117608,0.11516799999999999,0.23
-0.149816,-0.115656,0.10492,0.22
-0.149328,-0.12102399999999999,0.115656,0.22
-0.125416,-0.131272,0.113216,0.21
-0.129808,-0.137616,0.108824,0.22
-0.12834399999999999,-0.13176,0.090768,0.21
-0.13176,-0.13908,0.09516,0.21
-0.118584,-0.13419999999999999,0.105408,0.21
-0.1098,-0.138104,0.122,0.21
-0.11223999999999999,-0.157624,0.11223999999999999,0.22
-0.124928,-0.145424,0.10248,0.22
-0.10345599999999999,-0.139568,0.096624,0.2
-0.099552,-0.145424,0.10492,0.21
-0.111264,-0.162504,0.09272,0.22
-0.1098,-0.144448,0.095648,0.21
-0.10638399999999999,-0.15616,0.09272,0.21
-0.098088,-0.160552,0.103944,0.21
-0.101992,-0.142984,0.108336,0.21
-0.105896,-0.155672,0.098088,0.21
-0.091256,-0.166408,0.120048,0.22
-0.10638399999999999,-0.166896,0.08052,0.21
-0.099064,-0.162992,0.088328,0.21
-0.097112,-0.147864,0.074664,0.19
-0.107848,-0.152744,0.07808,0.2
-0.102968,-0.15372,0.083448,0.2
-0.105408,-0.162992,0.06539199999999999,0.2
-0.098576,-0.1586,0.062464,0.2
-0.10736,-0.175192,0.069296,0.22
-0.108824,-0.162992,0.081496,0.21
-0.091256,-0.159088,0.070272,0.2
-0.111264,-0.176168,0.067344,0.22
-0.105896,-0.169824,0.050263999999999996,0.21
-0.095648,-0.171288,0.067832,0.21
-0.10736,-0.17763199999999998,0.059536,0.22
-0.121512,-0.178608,0.058072,0.22
-0.113704,-0.174704,0.050263999999999996,0.21
-0.110776,-0.18056,0.045384,0.22
-0.10345599999999999,-0.190808,0.057096,0.22
-0.098088,-0.181536,0.048799999999999996,0.21
-0.105896,-0.17324,0.030255999999999998,0.21
-0.124928,-0.186904,0.026352,0.23
-0.10638399999999999,-0.194712,0.026352,0.22
-0.105896,-0.180072,0.070272,0.22
-0.088328,-0.172752,0.06831999999999999,0.21
-0.096624,-0.19276,0.033184,0.22
-0.092232,-0.196176,0.016104,0.22
-0.08052,-0.189832,0.011224,0.21
-0.095648,-0.192272,0.02196,0.22
-0.09272,-0.188368,0.00976,0.21
-0.09028,-0.188856,0.004392,0.21
-0.089792,-0.199592,0.013663999999999999,0.22
-0.089792,-0.198616,0.03172,0.22
-0.09272,-0.207888,0.020496,0.23
-0.081496,-0.199592,-0.007808,0.22
-0.071736,-0.190808,0.0068319999999999995,0.2
-0.072712,-0.19763999999999998,0.013176,0.21
-0.072224,-0.201544,0.003904,0.21
-0.06831999999999999,-0.200568,-0.008784,0.21
-0.081496,-0.197152,-0.001464,0.21
-0.081008,-0.198616,-0.000976,0.21
-0.06831999999999999,-0.198128,-0.012688,0.21
-0.068808,-0.211304,-0.012688,0.22
-0.052704,-0.21228,-0.011224,0.22
-0.050263999999999996,-0.199104,0.00488,0.21
-0.055144,-0.20252,0.012688,0.21
-0.044407999999999996,-0.21472,-0.001952,0.22
-0.038551999999999996,-0.211792,-0.01464,0.22
-0.046848,-0.210328,0.002928,0.22
-0.05124,-0.21520799999999998,-0.004392,0.22
-0.052216,-0.221552,-0.012199999999999999,0.23
-0.045871999999999996,-0.23033599999999999,-0.008784,0.24
