X,Y,Z,mag
0.932568,-0.581696,1.624552,1.96
0.941352,-0.599264,1.6157679999999999,1.96
0.92476,-0.600728,1.592344,1.94
0.911584,-0.59048,1.581608,1.92
0.922808,-0.581696,1.569408,1.91
0.91744,-0.584624,1.580632,1.92
0.911584,-0.584624,1.5811199999999999,1.92
0.9027999999999999,-0.566568,1.572336,1.9
0.901336,-0.5651039999999999,1.567944,1.89
0.913536,-0.5724239999999999,1.58844,1.92
0.911584,-0.569008,1.584536,1.91
0.9101199999999999,-0.571936,1.558184,1.89
0.9003599999999999,-0.571936,1.5689199999999999,1.9
0.894016,-0.557784,1.550376,1.87
0.8979199999999999,-0.547536,1.555256,1.88
0.8891359999999999,-0.527528,1.541592,1.86
0.8818159999999999,-0.525576,1.5493999999999999,1.86
0.891088,-0.523624,1.549888,1.86
0.882304,-0.521672,1.538664,1.85
0.868152,-0.525576,1.530856,1.84
0.8559519999999999,-0.5206959999999999,1.525976,1.83
0.854488,-0.50752,1.5664799999999999,1.86
0.85644,-0.503616,1.566968,1.86
0.845704,-0.510936,1.543056,1.83
0.8418,-0.506056,1.51768,1.81
0.8296,-0.508496,1.553304,1.83
0.8325279999999999,-0.50996,1.565016,1.84
0.820816,-0.477752,1.558184,1.82
0.82228,-0.481656,1.541592,1.81
0.8042239999999999,-0.481168,1.557696,1.82
0.815448,-0.478728,1.560136,1.82
0.81984,-0.476776,1.553792,1.82
0.796904,-0.46799199999999996,1.53232,1.79
0.785192,-0.453352,1.535248,1.78
0.787144,-0.45139999999999997,1.550376,1.8
0.787144,-0.447984,1.565016,1.81
0.7807999999999999,-0.445544,1.549888,1.79
0.776408,-0.443592,1.548424,1.79
0.7686,-0.432368,1.550376,1.78
0.757864,-0.424072,1.553792,1.78
0.7671359999999999,-0.430904,1.5493999999999999,1.78
0.7598159999999999,-0.44456799999999996,1.5640399999999999,1.79
0.759328,-0.43676,1.563064,1.79
0.74664,-0.420656,1.550864,1.77
0.739808,-0.404064,1.525488,1.74
0.715896,-0.384544,1.543056,1.74
0.7080879999999999,-0.382104,1.5835599999999999,1.78
0.69052,-0.39283999999999997,1.60308,1.79
0.7056479999999999,-0.40504,1.599176,1.79
0.6895439999999999,-0.403576,1.611376,1.8
0.70028,-0.384544,1.613816,1.8
0.694912,-0.38356799999999996,1.628456,1.81
0.681736,-0.396744,1.641632,1.82
0.673928,-0.39772,1.653832,1.83
0.678808,-0.37868799999999997,1.693848,1.86
0.685152,-0.38356799999999996,1.723616,1.89
0.686616,-0.382104,1.7143439999999999,1.89
0.699792,-0.380152,1.695312,1.87
0.69052,-0.375272,1.695312,1.87
0.68564,-0.365024,1.693848,1.86
0.6919839999999999,-0.356728,1.7192239999999999,1.89
0.698816,-0.360632,1.72508,1.9
0.691496,-0.367952,1.733864,1.9
0.68808,-0.359656,1.73972,1.91
0.694912,-0.370392,1.743136,1.91
0.701744,-0.36112,1.755824,1.93
0.69296,-0.360144,1.762656,1.93
0.690032,-0.371856,1.789496,1.95
0.699792,-0.365024,1.789496,1.96
0.682712,-0.372344,1.765584,1.93
0.686128,-0.357216,1.730448,1.9
0.667584,-0.34599199999999997,1.787544,1.94
0.667584,-0.345504,1.784616,1.94
0.684176,-0.359168,1.809504,1.97
0.671,-0.354776,1.7933999999999999,1.95
0.677344,-0.327448,1.7660719999999999,1.92
0.688568,-0.33427999999999997,1.774368,1.93
0.70028,-0.349408,1.762656,1.93
0.7032079999999999,-0.339648,1.718736,1.89
0.669536,-0.33183999999999997,1.722152,1.88
0.681248,-0.316712,1.717272,1.87
0.6822239999999999,-0.330376,1.722152,1.88
0.68076,-0.339648,1.708488,1.87
0.691496,-0.331352,1.687016,1.85
0.683688,-0.32939999999999997,1.663104,1.83
0.677344,-0.34404,1.65188,1.82
0.690032,-0.350384,1.642608,1.82
0.664168,-0.336232,1.617232,1.78
0.63684,-0.318664,1.614792,1.76
0.63928,-0.330864,1.612352,1.77
0.6222,-0.347944,1.587952,1.74
0.613416,-0.325984,1.569896,1.72
0.622688,-0.321104,1.5567199999999999,1.71
0.587552,-0.329888,1.5640399999999999,1.7
0.601704,-0.318664,1.550864,1.69
0.5978,-0.32256799999999997,1.52256,1.67
0.59292,-0.323544,1.497184,1.64
0.5978,-0.286456,1.504504,1.64
0.582672,-0.282064,1.5049919999999999,1.64
0.5612,-0.292312,1.4776639999999999,1.61
0.537288,-0.293288,1.496208,1.62
0.541192,-0.286944,1.508408,1.63
0.5416799999999999,-0.284504,1.524024,1.64
0.55144,-0.291336,1.518656,1.64
0.532896,-0.290848,1.4518,1.57
0.527528,-0.260104,1.448872,1.56
0.501176,-0.228872,1.504504,1.6
0.485072,-0.233264,1.523048,1.62
0.47238399999999997,-0.23863199999999998,1.528904,1.62
0.46116,-0.246928,1.523536,1.61
0.451888,-0.231312,1.548912,1.63
0.454816,-0.23033599999999999,1.53964,1.62
0.454816,-0.240584,1.5542799999999999,1.64
0.427488,-0.223016,1.539152,1.61
0.403576,-0.201544,1.5493999999999999,1.61
0.386008,-0.177144,1.609424,1.66
0.377224,-0.17568,1.613816,1.67
0.386496,-0.197152,1.646512,1.7
0.39772,-0.198616,1.647488,1.71
0.39967199999999997,-0.19276,1.663104,1.72
0.40016,-0.18544,1.68116,1.74
0.389912,-0.19032,1.687016,1.74
0.386496,-0.179096,1.709952,1.76
0.372344,-0.201544,1.72508,1.78
0.37332,-0.21228,1.7167839999999999,1.77
0.356728,-0.196176,1.691408,1.74
0.33183999999999997,-0.183976,1.706048,1.75
0.359656,-0.186416,1.733864,1.78
0.35136,-0.18934399999999998,1.762168,1.81
0.34404,-0.19519999999999998,1.7568,1.8
0.347456,-0.192272,1.758264,1.8
0.354288,-0.174704,1.763144,1.81
0.35526399999999997,-0.1708,1.777784,1.82
0.353312,-0.16836,1.758264,1.8
0.350384,-0.167872,1.7660719999999999,1.81
0.354776,-0.164944,1.78608,1.83
0.352336,-0.166408,1.8055999999999999,1.85
0.35624,-0.172752,1.830976,1.87
0.366,-0.177144,1.823168,1.87
0.335744,-0.192272,1.791936,1.83
0.340136,-0.190808,1.809992,1.85
0.342088,-0.183,1.8202399999999999,1.86
0.3538,-0.183976,1.828536,1.87
0.356728,-0.18056,1.829024,1.87
0.35282399999999997,-0.176656,1.821704,1.86
0.347944,-0.171288,1.806576,1.85
0.340136,-0.156648,1.819264,1.86
0.347944,-0.162016,1.832928,1.87
0.349896,-0.160552,1.843664,1.88
0.359168,-0.15420799999999998,1.829024,1.87
0.34599199999999997,-0.164456,1.806088,1.85
0.35770399999999997,-0.16104,1.767048,1.81
0.34648,-0.152744,1.801208,1.84
0.33672,-0.152256,1.789984,1.83
0.32256799999999997,-0.15372,1.807064,1.84
0.306464,-0.144448,1.800232,1.83
0.315248,-0.142008,1.793888,1.83
0.332328,-0.137128,1.8007199999999999,1.84
0.33427999999999997,-0.13078399999999998,1.790472,1.83
0.32939999999999997,-0.13078399999999998,1.752896,1.79
0.30597599999999997,-0.125416,1.753384,1.78
0.304024,-0.11516799999999999,1.7538719999999999,1.78
0.327936,-0.12834399999999999,1.779248,1.81
0.32208,-0.130296,1.781688,1.82
0.320616,-0.116632,1.733864,1.77
0.30841599999999997,-0.110776,1.716296,1.75
0.32256799999999997,-0.099552,1.71288,1.75
0.340136,-0.10004,1.709952,1.75
0.323544,-0.10248,1.6958,1.73
0.313296,-0.097112,1.696776,1.73
0.292312,-0.099552,1.7143439999999999,1.74
0.2806,-0.106872,1.7119039999999999,1.74
0.286944,-0.090768,1.70068,1.73
0.28792,-0.094184,1.709952,1.74
0.28499199999999997,-0.101016,1.702632,1.73
0.296216,-0.09174399999999999,1.7021439999999999,1.73
0.290848,-0.092232,1.677744,1.71
0.283528,-0.074664,1.667984,1.69
0.281088,-0.070272,1.6836,1.71
0.264008,-0.066368,1.677744,1.7
0.24790399999999999,-0.06539199999999999,1.6552959999999999,1.68
0.232288,-0.07417599999999999,1.6699359999999999,1.69
0.227896,-0.062952,1.70068,1.72
0.244,-0.048312,1.71044,1.73
0.243512,-0.055144,1.705072,1.72
0.226432,-0.045871999999999996,1.667984,1.68
0.20349599999999998,-0.024888,1.6796959999999999,1.69
0.19178399999999998,-0.024888,1.684576,1.7
0.21520799999999998,-0.031232,1.6958,1.71
0.22691999999999998,-0.023424,1.681648,1.7
0.205936,-0.016592,1.680184,1.69
0.204472,-0.001464,1.689456,1.7
0.20496,0.001464,1.690432,1.7
0.206424,-0.015127999999999999,1.68604,1.7
0.214232,-0.018543999999999998,1.658224,1.67
0.196176,-0.00732,1.670912,1.68
0.17812,-0.00244,1.683112,1.69
0.196176,-0.006344,1.66652,1.68
0.197152,-0.008784,1.678232,1.69
0.20105599999999998,0.009271999999999999,1.67872,1.69
0.193736,0.02684,1.6796959999999999,1.69
0.184464,0.023424,1.680672,1.69
0.178608,0.02196,1.66896,1.68
0.188368,0.02928,1.66896,1.68
0.18934399999999998,0.030255999999999998,1.66896,1.68
0.184952,0.027327999999999998,1.648952,1.66
0.169824,0.044407999999999996,1.6060079999999999,1.62
0.163968,0.044896,1.6060079999999999,1.61
0.169824,0.040504,1.64212,1.65
0.172752,0.055144,1.664568,1.67
0.15128,0.058072,1.6279679999999999,1.64
