X,Y,Z,mag
0.450912,-0.512888,0.583648,0.9
0.447984,-0.513864,0.56364,0.88
0.449448,-0.517768,0.57584,0.9
0.47482399999999997,-0.525576,0.587064,0.92
0.476776,-0.528992,0.571448,0.91
0.474336,-0.5416799999999999,0.583648,0.93
0.47970399999999996,-0.540704,0.58316,0.93
0.478728,-0.530944,0.568032,0.91
0.49776,-0.525576,0.566568,0.92
0.507032,-0.536312,0.573888,0.93
0.524112,-0.524112,0.574864,0.94
0.528016,-0.53436,0.57584,0.95
0.526552,-0.557784,0.557296,0.95
0.512888,-0.5612,0.557296,0.94
0.544608,-0.555832,0.586576,0.97
0.5367999999999999,-0.5612,0.61976,0.99
0.549488,-0.556808,0.576816,0.97
0.543632,-0.553392,0.57828,0.97
0.560712,-0.56852,0.561688,0.98
0.582184,-0.582184,0.573888,1.0
0.5978,-0.59292,0.560712,1.01
0.589504,-0.589504,0.557296,1.0
0.575352,-0.584136,0.578768,1.0
0.59048,-0.591944,0.5856,1.02
0.60024,-0.592432,0.581208,1.02
0.599752,-0.59536,0.5734,1.02
0.620736,-0.598288,0.549976,1.02
0.60756,-0.60268,0.574376,1.03
0.601216,-0.60756,0.564616,1.02
0.608536,-0.6168319999999999,0.558272,1.03
0.623176,-0.612928,0.552416,1.03
0.6378159999999999,-0.613416,0.562176,1.05
0.630984,-0.601704,0.56608,1.04
0.64172,-0.5958479999999999,0.572912,1.05
0.63928,-0.608048,0.573888,1.05
0.643184,-0.613904,0.589504,1.07
0.667096,-0.62952,0.591944,1.09
0.667096,-0.6451359999999999,0.57828,1.09
0.662216,-0.632448,0.52948,1.06
0.672952,-0.618784,0.571936,1.08
0.67344,-0.627568,0.558272,1.08
0.671976,-0.63928,0.57096,1.09
0.6822239999999999,-0.642208,0.5734,1.1
0.698816,-0.634888,0.58804,1.11
0.7080879999999999,-0.654408,0.5909679999999999,1.13
0.707112,-0.666608,0.571448,1.13
0.711992,-0.6612399999999999,0.558272,1.12
0.718336,-0.649528,0.5626639999999999,1.12
0.723704,-0.6563599999999999,0.56608,1.13
0.703696,-0.659776,0.578768,1.12
0.72224,-0.658312,0.58316,1.14
0.732976,-0.670512,0.589504,1.16
0.74664,-0.667584,0.589016,1.16
0.7363919999999999,-0.670512,0.5978,1.16
0.739808,-0.670512,0.603656,1.17
0.745176,-0.671976,0.61244,1.18
0.742736,-0.67588,0.604144,1.17
0.748104,-0.692472,0.601216,1.18
0.745664,-0.697352,0.593896,1.18
0.751032,-0.703696,0.587552,1.19
0.7622559999999999,-0.702232,0.604632,1.2
0.767624,-0.6919839999999999,0.64172,1.22
0.79788,-0.700768,0.600728,1.22
0.782264,-0.696376,0.620248,1.22
0.772992,-0.703696,0.591944,1.2
0.79544,-0.700768,0.604144,1.22
0.7905599999999999,-0.709552,0.6095119999999999,1.22
0.7807999999999999,-0.7154079999999999,0.598776,1.22
0.779336,-0.7129679999999999,0.625128,1.23
0.7856799999999999,-0.716872,0.657824,1.25
0.816912,-0.716384,0.648552,1.27
0.813496,-0.711016,0.634888,1.25
0.800808,-0.7105279999999999,0.631472,1.24
0.788608,-0.719312,0.633912,1.24
0.805688,-0.719312,0.635864,1.25
0.797392,-0.731024,0.650504,1.26
0.798856,-0.734928,0.6451359999999999,1.26
0.8052,-0.743712,0.632448,1.27
0.804712,-0.73688,0.639768,1.26
0.783728,-0.72468,0.646112,1.25
0.7993439999999999,-0.735904,0.647088,1.26
0.808616,-0.765672,0.666608,1.3
0.803248,-0.746152,0.661728,1.28
0.8091039999999999,-0.7388319999999999,0.644648,1.27
0.803248,-0.753472,0.622688,1.27
0.797392,-0.728096,0.658312,1.26
0.805688,-0.742736,0.647088,1.27
0.787632,-0.757864,0.652944,1.27
0.786168,-0.750544,0.647088,1.26
0.789584,-0.735416,0.6612399999999999,1.27
0.7993439999999999,-0.743712,0.670024,1.28
0.80032,-0.7564,0.663192,1.29
0.780312,-0.763232,0.662216,1.28
0.775432,-0.7646959999999999,0.6612399999999999,1.27
0.772992,-0.752984,0.667584,1.27
0.7759199999999999,-0.745664,0.667584,1.27
0.779824,-0.740296,0.660264,1.26
0.77104,-0.739808,0.657824,1.25
0.765184,-0.732976,0.661728,1.25
0.770552,-0.737368,0.667096,1.26
0.768112,-0.7564,0.661728,1.26
0.779336,-0.75884,0.678808,1.28
0.789584,-0.7412719999999999,0.67344,1.28
0.781776,-0.749568,0.6563599999999999,1.27
0.770552,-0.7524959999999999,0.61732,1.24
0.748592,-0.748592,0.632448,1.23
0.746152,-0.746152,0.664656,1.25
0.728096,-0.73688,0.662704,1.23
0.728096,-0.738344,0.659776,1.23
0.742248,-0.746152,0.65392,1.24
0.73688,-0.73444,0.630984,1.22
0.728096,-0.74664,0.635864,1.22
0.726632,-0.742248,0.626592,1.21
0.714432,-0.730536,0.62952,1.2
0.71736,-0.735904,0.6378159999999999,1.21
0.731024,-0.74176,0.648064,1.23
0.7363919999999999,-0.747616,0.646112,1.23
0.7198,-0.737856,0.63196,1.21
0.7056479999999999,-0.7524959999999999,0.625616,1.21
0.708576,-0.755424,0.630496,1.21
0.718336,-0.732976,0.631472,1.2
0.71248,-0.7442,0.618296,1.2
0.719312,-0.722728,0.617808,1.19
0.701744,-0.721264,0.623176,1.18
0.695888,-0.72712,0.60512,1.17
0.6871039999999999,-0.739808,0.603656,1.18
0.6871039999999999,-0.728096,0.611464,1.17
0.70272,-0.7056479999999999,0.6402559999999999,1.18
0.702232,-0.726144,0.632448,1.19
0.683688,-0.726144,0.601216,1.16
