X,Y,Z,mag
1.0882399999999999,-0.966728,0.957944,1.74
1.06872,-0.969168,0.948672,1.73
1.064328,-0.975024,0.937448,1.72
1.06628,-0.979416,0.927688,1.72
1.059936,-0.981856,0.922808,1.71
1.0413919999999999,-0.983808,0.923296,1.7
1.037,-0.979904,0.913048,1.69
1.040416,-0.996984,0.9237839999999999,1.71
1.023336,-1.004792,0.914512,1.7
1.022848,-1.004304,0.906216,1.7
1.021384,-1.011624,0.887184,1.69
1.00772,-1.02236,0.886208,1.69
0.998448,-1.020408,0.887672,1.68
0.97112,-1.018456,0.8769359999999999,1.66
0.964288,-1.030656,0.883768,1.67
0.9657519999999999,-1.033584,0.87596,1.66
0.953552,-1.03944,0.866688,1.66
0.937936,-1.042368,0.865224,1.65
0.929152,-1.051152,0.857416,1.64
0.921832,-1.057008,0.845216,1.64
0.925248,-1.055544,0.833992,1.63
0.902312,-1.053592,0.830576,1.62
0.8891359999999999,-1.05896,0.813496,1.6
0.884744,-1.067744,0.805688,1.6
0.869616,-1.075064,0.803248,1.6
0.848144,-1.077504,0.805688,1.59
0.84424,-1.070672,0.785192,1.57
0.83448,-1.079456,0.790072,1.58
0.812032,-1.0735999999999999,0.782264,1.56
0.808128,-1.086776,0.774456,1.56
0.801296,-1.078968,0.759328,1.54
0.778848,-1.084336,0.7549359999999999,1.53
0.7832399999999999,-1.087264,0.75396,1.54
0.769576,-1.0857999999999999,0.755912,1.53
0.752008,-1.096536,0.7622559999999999,1.53
0.765672,-1.094584,0.74908,1.53
0.718824,-1.0955599999999999,0.73688,1.5
0.704184,-1.106296,0.73444,1.5
0.69784,-1.106784,0.72224,1.49
0.6919839999999999,-1.11264,0.716872,1.49
0.677832,-1.115568,0.71736,1.49
0.663192,-1.107272,0.722728,1.48
0.638304,-1.11264,0.706136,1.46
0.611464,-1.1228879999999999,0.7080879999999999,1.46
0.618296,-1.1350879999999999,0.722728,1.48
0.62464,-1.147776,0.725656,1.49
0.620248,-1.1448479999999999,0.7290719999999999,1.49
0.574864,-1.155096,0.713456,1.47
0.570472,-1.150216,0.702232,1.46
0.556808,-1.135576,0.721752,1.46
0.540704,-1.13216,0.703696,1.44
0.530944,-1.148752,0.700768,1.45
0.5182559999999999,-1.154608,0.685152,1.44
0.516792,-1.1448479999999999,0.681248,1.43
0.508984,-1.150704,0.676856,1.43
0.47970399999999996,-1.152168,0.663192,1.41
0.46799199999999996,-1.158512,0.6612399999999999,1.41
0.455792,-1.155584,0.6563599999999999,1.4
0.435784,-1.165832,0.655872,1.41
0.438712,-1.158024,0.655872,1.4
0.42212,-1.138992,0.650992,1.38
0.40992,-1.14924,0.6563599999999999,1.39
0.404064,-1.155584,0.652456,1.39
0.390888,-1.1448479999999999,0.652944,1.37
0.380152,-1.1424079999999999,0.658312,1.37
0.364048,-1.143384,0.652944,1.37
0.355752,-1.151192,0.659776,1.37
0.34648,-1.143384,0.662216,1.37
0.34648,-1.1302079999999999,0.648552,1.35
0.332328,-1.119472,0.6451359999999999,1.33
0.288408,-1.125816,0.6563599999999999,1.33
0.286456,-1.13216,0.6636799999999999,1.34
0.286944,-1.136552,0.666608,1.35
0.293776,-1.150216,0.666608,1.36
0.282064,-1.12484,0.65392,1.33
0.239608,-1.147288,0.671,1.35
0.23668,-1.1424079999999999,0.670024,1.35
0.237168,-1.1350879999999999,0.654896,1.33
0.222528,-1.15656,0.667584,1.35
0.218136,-1.156072,0.670024,1.35
0.205936,-1.159488,0.6661199999999999,1.35
0.20008,-1.162416,0.656848,1.35
0.184464,-1.168272,0.650016,1.35
0.16591999999999998,-1.174128,0.643184,1.35
0.150304,-1.162904,0.630496,1.33
0.1586,-1.162416,0.623664,1.33
0.151768,-1.1721759999999999,0.617808,1.33
0.14249599999999998,-1.17364,0.61488,1.33
0.121512,-1.167296,0.599264,1.32
0.12395199999999999,-1.187304,0.596336,1.33
0.12102399999999999,-1.166808,0.60024,1.32
0.12102399999999999,-1.159488,0.5958479999999999,1.31
0.11223999999999999,-1.18828,0.594872,1.33
0.095648,-1.190232,0.5724239999999999,1.32
0.081008,-1.189744,0.543632,1.31
0.07124799999999999,-1.179984,0.539728,1.3
0.08003199999999999,-1.1746159999999999,0.52948,1.29
0.05856,-1.179008,0.542656,1.3
0.053191999999999996,-1.1794959999999999,0.532408,1.3
0.055632,-1.1819359999999999,0.5231359999999999,1.29
0.042943999999999996,-1.175104,0.532896,1.29
0.037576,-1.1794959999999999,0.51972,1.29
0.015616,-1.181448,0.503616,1.28
0.002928,-1.187792,0.503616,1.29
0.002928,-1.187792,0.49776,1.29
-0.021471999999999998,-1.187792,0.491904,1.29
-0.022935999999999998,-1.19072,0.476776,1.28
-0.01952,-1.175104,0.47482399999999997,1.27
-0.029768,-1.1770559999999999,0.471408,1.27
-0.034648,-1.196576,0.460184,1.28
-0.028304,-1.176568,0.455304,1.26
-0.028791999999999998,-1.177544,0.45139999999999997,1.26
-0.037087999999999996,-1.181448,0.44212799999999997,1.26
-0.033184,-1.18096,0.43676,1.26
-0.043432,-1.185352,0.4148,1.26
-0.058072,-1.180472,0.407968,1.25
-0.049288,-1.188768,0.417728,1.26
-0.068808,-1.1819359999999999,0.406016,1.25
-0.072224,-1.178032,0.393816,1.24
-0.076616,-1.183888,0.38308,1.25
-0.09467199999999999,-1.1794959999999999,0.364048,1.24
-0.096136,-1.179008,0.354288,1.23
-0.106872,-1.176568,0.360144,1.24
-0.10345599999999999,-1.187304,0.35136,1.24
-0.091256,-1.178032,0.335744,1.23
-0.098088,-1.181448,0.332816,1.23
-0.102968,-1.187792,0.333792,1.24
-0.11223999999999999,-1.1834,0.32939999999999997,1.23
-0.116632,-1.179984,0.30597599999999997,1.22
-0.127368,-1.17608,0.289872,1.22
-0.1464,-1.180472,0.287432,1.22
-0.16006399999999998,-1.183888,0.28792,1.23
-0.16006399999999998,-1.192184,0.27083999999999997,1.23
-0.162992,-1.194624,0.260592,1.23
-0.178608,-1.2078,0.25376,1.25
-0.183,-1.204384,0.25376,1.24
-0.182512,-1.211704,0.255224,1.25
-0.186904,-1.213656,0.252784,1.25
-0.18788,-1.205848,0.241072,1.24
-0.185928,-1.200968,0.23668,1.24
-0.211792,-1.203408,0.231312,1.24
-0.193248,-1.212192,0.229848,1.25
-0.198128,-1.220976,0.21472,1.26
-0.233752,-1.22244,0.208864,1.26
-0.26108,-1.233176,0.204472,1.28
-0.26156799999999997,-1.22976,0.20496,1.27
-0.251808,-1.224392,0.202032,1.27
-0.262056,-1.226832,0.186416,1.27
-0.279624,-1.234152,0.169336,1.28
-0.301584,-1.22244,0.155672,1.27
-0.30597599999999997,-1.227808,0.144936,1.27
-0.30988,-1.24196,0.14005599999999999,1.29
-0.325008,-1.240008,0.135176,1.29
-0.32939999999999997,-1.24684,0.10492,1.29
-0.338672,-1.24928,0.095648,1.3
-0.35282399999999997,-1.247816,0.091256,1.3
-0.362096,-1.255624,0.09174399999999999,1.31
-0.36356,-1.261968,0.09028,1.32
-0.366,-1.253672,0.06831999999999999,1.31
-0.377712,-1.256112,0.062952,1.31
-0.382104,-1.270264,0.05368,1.33
-0.394304,-1.2780719999999999,0.046848,1.34
-0.408456,-1.287344,0.039528,1.35
-0.396256,-1.2932,0.041479999999999996,1.35
-0.407968,-1.297592,0.01952,1.36
