X,Y,Z,mag
-0.568032,-0.44164,-0.997472,1.23
-0.5724239999999999,-0.44408,-0.992104,1.23
-0.587552,-0.435784,-1.008696,1.25
-0.60756,-0.427,-1.00528,1.25
-0.613904,-0.42797599999999997,-1.0248,1.27
-0.604144,-0.40748,-1.030656,1.26
-0.596336,-0.411872,-1.03944,1.27
-0.598288,-0.408944,-1.037,1.27
-0.60268,-0.411872,-1.052128,1.28
-0.59048,-0.413336,-1.05896,1.28
-0.602192,-0.40699199999999996,-1.061888,1.29
-0.626592,-0.395768,-1.062376,1.3
-0.603656,-0.410896,-1.0492,1.28
-0.594872,-0.41236,-1.065304,1.29
-0.617808,-0.40748,-1.111176,1.34
-0.610488,-0.41138399999999997,-1.118496,1.34
-0.612928,-0.393816,-1.10776,1.33
-0.628544,-0.382104,-1.095072,1.32
-0.608536,-0.401136,-1.092632,1.31
-0.596824,-0.396744,-1.110688,1.32
-0.616344,-0.393328,-1.103368,1.32
-0.621224,-0.399184,-1.099952,1.32
-0.623176,-0.393328,-1.117032,1.34
-0.618296,-0.38356799999999996,-1.104832,1.32
-0.602192,-0.390888,-1.113616,1.32
-0.615368,-0.386008,-1.126304,1.34
-0.62464,-0.396744,-1.15168,1.37
-0.64172,-0.408944,-1.1253279999999999,1.36
-0.622688,-0.40748,-1.131184,1.35
-0.630496,-0.40016,-1.124352,1.35
-0.63196,-0.400648,-1.1375279999999999,1.36
-0.630008,-0.394304,-1.124352,1.35
-0.624152,-0.397232,-1.1375279999999999,1.36
-0.610976,-0.408944,-1.145336,1.36
-0.6143919999999999,-0.40748,-1.1448479999999999,1.36
-0.61244,-0.41382399999999997,-1.16632,1.38
-0.634888,-0.425048,-1.164856,1.39
-0.6222,-0.421632,-1.182912,1.4
-0.630496,-0.425048,-1.159488,1.39
-0.6402559999999999,-0.420168,-1.166808,1.4
-0.638792,-0.432368,-1.167296,1.4
-0.625616,-0.449448,-1.179984,1.41
-0.631472,-0.447496,-1.1697359999999999,1.4
-0.645624,-0.440176,-1.169248,1.41
-0.650504,-0.446032,-1.178032,1.42
-0.648552,-0.452864,-1.18828,1.43
-0.662216,-0.46555199999999997,-1.1834,1.43
-0.664168,-0.467016,-1.173152,1.43
-0.674416,-0.46067199999999997,-1.192184,1.45
-0.671488,-0.45383999999999997,-1.177544,1.43
-0.667584,-0.462624,-1.174128,1.43
-0.666608,-0.478728,-1.172664,1.43
-0.671,-0.48653599999999997,-1.177544,1.44
-0.677344,-0.484584,-1.175592,1.44
-0.680272,-0.47970399999999996,-1.165344,1.43
-0.669048,-0.47336,-1.164368,1.42
-0.671488,-0.488,-1.177544,1.44
-0.678808,-0.500688,-1.189744,1.46
-0.692472,-0.504592,-1.17852,1.46
-0.704672,-0.510448,-1.148752,1.44
-0.7076,-0.5133759999999999,-1.16632,1.46
-0.702232,-0.52216,-1.175104,1.47
-0.715896,-0.530944,-1.193648,1.49
-0.726632,-0.530944,-1.187792,1.49
-0.723216,-0.548024,-1.1868159999999999,1.49
-0.723216,-0.555832,-1.1843759999999999,1.49
-0.723216,-0.555344,-1.18096,1.49
-0.733464,-0.538752,-1.189744,1.5
-0.722728,-0.540704,-1.19804,1.5
-0.74908,-0.5465599999999999,-1.19316,1.51
-0.732488,-0.559248,-1.201456,1.51
-0.73932,-0.5734,-1.1916959999999999,1.52
-0.768112,-0.5699839999999999,-1.196576,1.53
-0.779336,-0.578768,-1.19804,1.54
-0.770064,-0.579744,-1.214632,1.55
-0.771528,-0.584136,-1.213656,1.55
-0.77348,-0.576328,-1.224392,1.56
-0.7856799999999999,-0.580232,-1.223416,1.57
-0.787144,-0.584136,-1.22,1.56
-0.789584,-0.592432,-1.231712,1.58
-0.80276,-0.593896,-1.242936,1.59
-0.8052,-0.597312,-1.244888,1.6
-0.808128,-0.598776,-1.2190239999999999,1.58
-0.809592,-0.608048,-1.243912,1.6
-0.82716,-0.62952,-1.258552,1.63
-0.833504,-0.621224,-1.291736,1.66
-0.826672,-0.63196,-1.292224,1.66
-0.831552,-0.631472,-1.286856,1.66
-0.857416,-0.627568,-1.295152,1.68
-0.8510719999999999,-0.634888,-1.306864,1.68
-0.853024,-0.6329359999999999,-1.280024,1.66
-0.901336,-0.62952,-1.237568,1.66
-0.898408,-0.648064,-1.258552,1.68
-0.869616,-0.651968,-1.287344,1.68
-0.859856,-0.634888,-1.336144,1.71
-0.860344,-0.654408,-1.34444,1.73
-0.864248,-0.652944,-1.346392,1.73
-0.8793759999999999,-0.663192,-1.341512,1.74
-0.892064,-0.662704,-1.334192,1.74
-0.9003599999999999,-0.664656,-1.360056,1.76
-0.9237839999999999,-0.678808,-1.367864,1.78
-0.9213439999999999,-0.686616,-1.353224,1.78
-0.891576,-0.687592,-1.358592,1.76
-0.898408,-0.688568,-1.382992,1.79
-0.899384,-0.683688,-1.4112959999999999,1.81
-0.903288,-0.676368,-1.396656,1.8
-0.908168,-0.6822239999999999,-1.409832,1.81
-0.923296,-0.694912,-1.420568,1.83
-0.92476,-0.693448,-1.434232,1.84
-0.92964,-0.704184,-1.429352,1.84
-0.938912,-0.709064,-1.430328,1.85
-0.93452,-0.697352,-1.441064,1.85
-0.948184,-0.684176,-1.453264,1.87
-0.946232,-0.6944239999999999,-1.446432,1.86
-0.9286639999999999,-0.70516,-1.4381359999999999,1.85
-0.940864,-0.71004,-1.46888,1.88
-0.963312,-0.713456,-1.4727839999999999,1.9
-0.9657519999999999,-0.69784,-1.4762,1.9
-0.95648,-0.70272,-1.479616,1.9
-0.9681919999999999,-0.709552,-1.479616,1.91
-0.960872,-0.708576,-1.485472,1.91
-0.971608,-0.71004,-1.492792,1.92
-0.983808,-0.716384,-1.49084,1.92
-0.98088,-0.706624,-1.483032,1.91
-0.983808,-0.704184,-1.476688,1.91
-0.965264,-0.711992,-1.48108,1.91
-1.003328,-0.72712,-1.501576,1.95
-1.006256,-0.728584,-1.525,1.97
-1.003816,-0.720776,-1.508896,1.95
-0.99796,-0.71736,-1.5220719999999999,1.96
-1.014552,-0.7080879999999999,-1.52256,1.96
-1.023824,-0.706136,-1.52256,1.97
-1.023824,-0.721264,-1.5171919999999999,1.97
-1.023824,-0.718336,-1.516704,1.97
-1.01992,-0.6944239999999999,-1.535248,1.97
-1.016016,-0.695888,-1.554768,1.98
-1.010648,-0.709064,-1.541592,1.98
-1.028704,-0.70272,-1.518656,1.96
-1.039928,-0.701744,-1.5220719999999999,1.97
-1.057984,-0.6919839999999999,-1.5269519999999999,1.98
-1.055056,-0.68808,-1.533784,1.98
-1.028216,-0.6944239999999999,-1.547448,1.98
-1.031144,-0.719312,-1.567944,2.01
-1.01504,-0.704672,-1.591368,2.01
-1.0126,-0.685152,-1.596248,2.01
-1.033584,-0.68564,-1.585512,2.01
-1.043344,-0.679296,-1.594784,2.02
-1.067256,-0.666608,-1.590392,2.03
-1.072136,-0.6612399999999999,-1.560136,2.01
-1.071648,-0.671,-1.541592,1.99
-1.074576,-0.667584,-1.544032,2.0
-1.06628,-0.652456,-1.5542799999999999,1.99
-1.065792,-0.648552,-1.570872,2.01
-1.073112,-0.648064,-1.5689199999999999,2.01
-1.069696,-0.655384,-1.579656,2.02
-1.047248,-0.642208,-1.581608,2.0
-1.043344,-0.632448,-1.592344,2.01
-1.057496,-0.6329359999999999,-1.590392,2.01
-1.0735999999999999,-0.6451359999999999,-1.592832,2.03
-1.070672,-0.6378159999999999,-1.600152,2.03
-1.0735999999999999,-0.6329359999999999,-1.569896,2.0
-1.0735999999999999,-0.640744,-1.566968,2.0
-1.076528,-0.64416,-1.586,2.02
-1.085312,-0.635864,-1.597224,2.03
-1.094096,-0.6222,-1.596248,2.03
-1.0857999999999999,-0.615856,-1.589904,2.02
-1.077016,-0.6143919999999999,-1.604056,2.03
-1.075064,-0.599752,-1.6104,2.03
-1.077504,-0.602192,-1.6104,2.03
-1.075064,-0.592432,-1.616256,2.03
-1.087264,-0.582672,-1.61772,2.03
-1.10288,-0.584136,-1.611376,2.04
-1.096048,-0.576328,-1.586,2.01
-1.096536,-0.591456,-1.6157679999999999,2.04
-1.0833599999999999,-0.589992,-1.6206479999999999,2.04
-1.068232,-0.587552,-1.628944,2.03
-1.079456,-0.582184,-1.643096,2.05
-1.098,-0.576328,-1.66652,2.08
-1.086776,-0.5602239999999999,-1.65432,2.06
-1.086288,-0.55632,-1.654808,2.06
-1.10776,-0.557784,-1.65432,2.07
-1.10776,-0.545584,-1.6528559999999999,2.06
-1.121424,-0.538752,-1.680672,2.09
-1.117032,-0.5392399999999999,-1.6504159999999999,2.06
-1.099464,-0.532896,-1.69092,2.09
-1.104832,-0.532896,-1.684088,2.08
-1.133136,-0.5182559999999999,-1.699216,2.11
-1.1399679999999999,-0.520208,-1.6948239999999999,2.11
-1.142896,-0.527528,-1.70556,2.12
-1.148752,-0.513864,-1.7119039999999999,2.12
-1.148752,-0.511912,-1.703608,2.12
-1.14192,-0.512888,-1.691896,2.1
-1.136552,-0.502152,-1.694336,2.1
-1.15168,-0.49580799999999997,-1.700192,2.11
-1.158512,-0.498736,-1.708976,2.12
-1.179984,-0.493368,-1.69336,2.12
-1.200968,-0.501664,-1.7021439999999999,2.14
-1.177544,-0.504104,-1.720688,2.15
-1.167296,-0.489464,-1.731912,2.15
-1.164856,-0.488,-1.725568,2.14
-1.159976,-0.47824,-1.723128,2.13
-1.186328,-0.47970399999999996,-1.709952,2.14
-1.191208,-0.476288,-1.684576,2.12
-1.162416,-0.47238399999999997,-1.699216,2.11
-1.171688,-0.487024,-1.706048,2.13
-1.19072,-0.478728,-1.7216639999999999,2.15
-1.185352,-0.46555199999999997,-1.716296,2.14
-1.1916959999999999,-0.455792,-1.727032,2.15
-1.1834,-0.446032,-1.723128,2.14
-1.18584,-0.462624,-1.741184,2.16
-1.1941359999999999,-0.459696,-1.750944,2.17
-1.1834,-0.454328,-1.755336,2.17
-1.205848,-0.449936,-1.747528,2.17
-1.203408,-0.44456799999999996,-1.74704,2.17
-1.1892559999999999,-0.447008,-1.7416719999999999,2.16
-1.1916959999999999,-0.443104,-1.74704,2.16
-1.17364,-0.43188,-1.7909599999999999,2.18
-1.182912,-0.431392,-1.78608,2.19
-1.1843759999999999,-0.43432,-1.77632,2.18
-1.166808,-0.429928,-1.771928,2.16
-1.176568,-0.41870399999999997,-1.779736,2.17
-1.181448,-0.413336,-1.784616,2.18
-1.167784,-0.427,-1.77388,2.17
-1.173152,-0.433344,-1.782176,2.18
-1.186328,-0.417728,-1.8007199999999999,2.2
-1.17852,-0.4026,-1.779248,2.17
-1.172664,-0.40504,-1.7782719999999999,2.17
-1.1819359999999999,-0.410896,-1.796816,2.19
-1.19072,-0.41236,-1.810968,2.21
-1.184864,-0.398696,-1.796816,2.19
-1.184864,-0.39283999999999997,-1.801696,2.19
-1.1794959999999999,-0.39967199999999997,-1.800232,2.19
-1.184864,-0.403088,-1.822192,2.21
-1.184864,-0.40455199999999997,-1.8104799999999999,2.2
-1.1794959999999999,-0.389912,-1.806576,2.19
-1.179008,-0.386984,-1.812432,2.2
-1.180472,-0.39772,-1.819752,2.21
-1.185352,-0.39967199999999997,-1.814872,2.2
-1.177544,-0.384544,-1.815848,2.2
-1.20536,-0.389424,-1.8226799999999999,2.22
-1.202432,-0.389424,-1.818776,2.21
-1.18584,-0.376736,-1.822192,2.21
-1.180472,-0.394304,-1.826584,2.21
-1.199992,-0.395768,-1.818776,2.21
-1.204872,-0.38112799999999997,-1.830976,2.22
-1.197064,-0.372344,-1.812432,2.2
