X,Y,Z,mag
-0.542168,-0.65148,-0.09028,0.85
-0.547536,-0.660752,-0.076616,0.86
-0.530456,-0.671976,-0.061975999999999996,0.86
-0.540216,-0.676856,-0.059047999999999996,0.87
-0.5465599999999999,-0.695888,-0.060024,0.89
-0.532408,-0.716872,-0.086376,0.9
-0.530456,-0.718824,-0.09272,0.9
-0.5441199999999999,-0.728096,-0.086376,0.91
-0.530944,-0.731024,-0.060511999999999996,0.91
-0.535824,-0.735416,-0.062464,0.91
-0.5416799999999999,-0.744688,-0.083936,0.92
-0.533384,-0.740296,-0.06831999999999999,0.91
-0.547048,-0.76128,-0.07710399999999999,0.94
-0.53192,-0.772504,-0.08588799999999999,0.94
-0.5182559999999999,-0.767624,-0.084424,0.93
-0.5231359999999999,-0.776896,-0.090768,0.94
-0.521184,-0.776896,-0.09516,0.94
-0.532896,-0.789584,-0.096136,0.96
-0.521672,-0.802272,-0.090768,0.96
-0.5158159999999999,-0.79788,-0.082472,0.95
-0.541192,-0.821304,-0.079056,0.99
-0.534848,-0.84912,-0.099064,1.01
-0.525088,-0.850096,-0.092232,1.0
-0.526552,-0.8486319999999999,-0.079056,1.0
-0.547048,-0.8325279999999999,-0.076616,1.0
-0.53192,-0.8300879999999999,-0.051727999999999996,0.99
-0.51972,-0.8510719999999999,-0.07076,1.0
-0.521184,-0.854,-0.08588799999999999,1.0
-0.521672,-0.86132,-0.10736,1.01
-0.51972,-0.862296,-0.083936,1.01
-0.506544,-0.873032,-0.08881599999999999,1.01
-0.522648,-0.88816,-0.093208,1.03
-0.5133759999999999,-0.8979199999999999,-0.103944,1.04
-0.50508,-0.8979199999999999,-0.096136,1.03
-0.5002,-0.879864,-0.098576,1.02
-0.493856,-0.88816,-0.11712,1.02
-0.501176,-0.8954799999999999,-0.097112,1.03
-0.494832,-0.899384,-0.08003199999999999,1.03
-0.49776,-0.9213439999999999,-0.093208,1.05
-0.503616,-0.9311039999999999,-0.123464,1.07
-0.508008,-0.926712,-0.090768,1.06
-0.497272,-0.915976,-0.087352,1.05
-0.49824799999999997,-0.9272,-0.088328,1.06
-0.485072,-0.931592,-0.076616,1.05
-0.489464,-0.92964,-0.055144,1.05
-0.48312,-0.937448,-0.071736,1.06
-0.476288,-0.932568,-0.082472,1.05
-0.48653599999999997,-0.915,-0.08881599999999999,1.04
-0.48312,-0.933056,-0.087352,1.05
-0.482144,-0.952576,-0.07564,1.07
-0.466528,-0.957944,-0.09516,1.07
-0.467016,-0.95892,-0.09028,1.07
-0.47092,-0.948672,-0.084424,1.06
-0.46604,-0.9657519999999999,-0.06831999999999999,1.07
-0.47970399999999996,-0.962336,-0.070272,1.08
-0.479216,-0.966728,-0.066368,1.08
-0.44408,-0.9730719999999999,-0.073688,1.07
-0.451888,-0.971608,-0.071736,1.07
-0.461648,-0.965264,-0.091256,1.07
-0.450424,-0.964288,-0.09174399999999999,1.07
-0.443104,-0.976,-0.055144,1.07
-0.44895999999999997,-0.967704,-0.066368,1.07
-0.436272,-0.9730719999999999,-0.057096,1.07
-0.432368,-0.970144,-0.048312,1.06
-0.432856,-0.97844,-0.0366,1.07
-0.430904,-0.969656,-0.051727999999999996,1.06
-0.436272,-0.969168,-0.05856,1.06
-0.42797599999999997,-0.9803919999999999,-0.045871999999999996,1.07
-0.41626399999999997,-0.991128,-0.0366,1.08
-0.426024,-0.98332,-0.044896,1.07
-0.432368,-0.9755119999999999,-0.043432,1.07
-0.422608,-0.9706319999999999,-0.035623999999999996,1.06
-0.406016,-0.9940559999999999,-0.04392,1.07
-0.400648,-0.9916159999999999,-0.017079999999999998,1.07
-0.384544,-0.986248,-0.0068319999999999995,1.06
-0.385032,-0.972096,-0.012688,1.05
-0.408456,-0.983808,-0.025376,1.07
-0.391864,-0.99796,-0.028304,1.07
-0.386008,-1.00284,-0.014152,1.07
-0.395768,-1.002352,-0.012688,1.08
-0.389424,-0.970144,-0.040015999999999996,1.05
-0.389424,-0.965264,-0.022935999999999998,1.04
-0.385032,-0.964288,-0.017079999999999998,1.04
-0.36941599999999997,-0.979904,-0.02928,1.05
-0.370392,-0.9940559999999999,-0.016104,1.06
-0.379664,-0.975024,-0.032208,1.05
-0.384056,-0.9916159999999999,-0.030744,1.06
-0.386496,-0.986248,-0.028791999999999998,1.06
-0.38112799999999997,-0.987224,-0.031232,1.06
-0.385032,-0.98088,-0.027327999999999998,1.05
-0.371856,-0.979904,-0.034648,1.05
-0.375272,-0.99308,-0.056608,1.06
-0.397232,-0.98088,-0.058072,1.06
-0.381616,-0.9755119999999999,-0.03904,1.05
-0.38112799999999997,-0.975024,-0.017079999999999998,1.05
-0.388936,-0.97356,-0.034159999999999996,1.05
-0.4026,-0.979904,-0.039528,1.06
-0.40455199999999997,-0.96136,-0.036112,1.04
-0.40504,-0.947696,-0.038064,1.03
-0.396744,-0.962336,-0.025376,1.04
-0.375272,-0.962336,-0.031232,1.03
-0.389424,-0.9569679999999999,-0.042456,1.03
-0.40504,-0.962336,-0.041479999999999996,1.04
-0.403576,-0.9638,-0.052216,1.05
-0.431392,-0.95892,-0.044407999999999996,1.05
-0.40748,-0.951112,-0.020007999999999998,1.03
-0.41138399999999997,-0.947696,-0.028304,1.03
-0.411872,-0.946232,-0.02928,1.03
-0.411872,-0.933056,-0.044896,1.02
-0.396256,-0.933056,-0.044896,1.01
-0.42212,-0.930616,-0.0366,1.02
-0.44652,-0.9359839999999999,-0.026352,1.04
-0.427,-0.93452,-0.015127999999999999,1.03
-0.42553599999999997,-0.940864,-0.02196,1.03
-0.42456,-0.925248,-0.048312,1.02
-0.428952,-0.911584,-0.040015999999999996,1.01
-0.430904,-0.906216,-0.024399999999999998,1.0
-0.443104,-0.911584,-0.026352,1.01
-0.436272,-0.91744,-0.02928,1.02
-0.42797599999999997,-0.91744,-0.040504,1.01
-0.43188,-0.914024,-0.039528,1.01
-0.43432,-0.920856,-0.019032,1.02
-0.443104,-0.921832,-0.028791999999999998,1.02
-0.454328,-0.922808,-0.035136,1.03
-0.46067199999999997,-0.912072,-0.02684,1.02
-0.452376,-0.904752,-0.02928,1.01
-0.459208,-0.903776,-0.02684,1.01
-0.449448,-0.903776,-0.016592,1.01
-0.46604,-0.8866959999999999,-0.014152,1.0
-0.450912,-0.898896,-0.037087999999999996,1.01
-0.473848,-0.913048,-0.030255999999999998,1.03
-0.469944,-0.904264,-0.012199999999999999,1.02
-0.450912,-0.902312,-0.023424,1.01
-0.47824,-0.8906,-0.027816,1.01
-0.48068,-0.88328,-0.020007999999999998,1.01
