X,Y,Z,mag
0.886208,0.91744,0.038551999999999996,1.28
0.878888,0.9262239999999999,0.010735999999999999,1.28
0.866688,0.91744,0.016592,1.26
0.87352,0.921832,0.09272,1.27
0.8818159999999999,0.92232,0.07710399999999999,1.28
0.904752,0.92476,0.039528,1.29
0.9027999999999999,0.93208,0.030255999999999998,1.3
0.894016,0.925248,0.040015999999999996,1.29
0.892552,0.908168,0.055144,1.27
0.878888,0.893528,0.046848,1.25
0.891088,0.887184,0.039528,1.26
0.885232,0.899872,0.044407999999999996,1.26
0.874008,0.906704,0.010735999999999999,1.26
0.8632719999999999,0.902312,0.022448,1.25
0.869616,0.891576,0.053191999999999996,1.25
0.87352,0.8866959999999999,0.050263999999999996,1.25
0.8720559999999999,0.887184,0.048799999999999996,1.24
0.869616,0.8784,0.03904,1.24
0.870592,0.89304,0.033672,1.25
0.861808,0.894016,0.042943999999999996,1.24
0.852048,0.903776,0.046848,1.24
0.869128,0.894992,0.05368,1.25
0.866688,0.882304,0.060511999999999996,1.24
0.855464,0.8866959999999999,0.027327999999999998,1.23
0.836432,0.878888,0.047335999999999996,1.21
0.837896,0.88816,0.068808,1.22
0.8296,0.882304,0.08295999999999999,1.21
0.843752,0.874984,0.05368,1.22
0.84424,0.882792,0.049776,1.22
0.838384,0.862296,0.040992,1.2
0.8325279999999999,0.873032,0.069296,1.21
0.816912,0.8906,0.062952,1.21
0.80276,0.894992,0.064904,1.2
0.794952,0.8818159999999999,0.063928,1.19
0.8042239999999999,0.882304,0.05856,1.2
0.776896,0.870592,0.069784,1.17
0.793,0.8632719999999999,0.07417599999999999,1.17
0.776408,0.869616,0.110776,1.17
0.780312,0.870592,0.073688,1.17
0.772504,0.8744959999999999,0.079056,1.17
0.781776,0.8662,0.062952,1.17
0.7783599999999999,0.874984,0.064904,1.17
0.760304,0.899384,0.059536,1.18
0.752008,0.885232,0.069296,1.16
0.7412719999999999,0.875472,0.08295999999999999,1.15
0.74176,0.8784,0.093696,1.15
0.730048,0.872544,0.09759999999999999,1.14
0.735904,0.87108,0.079056,1.14
0.726144,0.878888,0.10638399999999999,1.15
0.723216,0.874984,0.08003199999999999,1.14
0.721752,0.847168,0.081496,1.12
0.725168,0.898896,0.069296,1.16
0.727608,0.890112,0.084912,1.15
0.7154079999999999,0.887184,0.070272,1.14
0.708576,0.882792,0.059047999999999996,1.13
0.704184,0.88328,0.091256,1.13
0.694912,0.8818159999999999,0.108336,1.13
0.693448,0.8769359999999999,0.099552,1.12
0.6954,0.884744,0.088328,1.13
0.6954,0.88816,0.08052,1.13
0.681736,0.8866959999999999,0.093696,1.12
0.670024,0.888648,0.09467199999999999,1.12
0.671,0.892552,0.08003199999999999,1.12
0.67588,0.878888,0.072712,1.11
0.679296,0.88816,0.08588799999999999,1.12
0.649528,0.8979199999999999,0.0854,1.11
0.64904,0.883768,0.08588799999999999,1.1
0.6587999999999999,0.880352,0.098576,1.1
0.664168,0.894504,0.088328,1.12
0.653432,0.892064,0.079056,1.11
0.638792,0.8906,0.099064,1.1
0.6451359999999999,0.887184,0.083448,1.1
0.643672,0.887184,0.09516,1.1
0.62708,0.894504,0.081496,1.1
0.617808,0.899384,0.076616,1.09
0.620736,0.901336,0.08881599999999999,1.1
0.6119519999999999,0.9003599999999999,0.089792,1.09
0.600728,0.900848,0.081008,1.09
0.601216,0.903288,0.113704,1.09
0.610976,0.906704,0.1098,1.1
0.594872,0.899384,0.089304,1.08
0.5958479999999999,0.901336,0.062952,1.08
0.591944,0.914512,0.086376,1.09
0.58804,0.9125599999999999,0.081008,1.09
0.581696,0.922808,0.0854,1.09
0.584624,0.930128,0.081984,1.1
0.577304,0.918416,0.083448,1.09
0.57096,0.934032,0.05124,1.1
0.545584,0.93208,0.056608,1.08
