X,Y,Z,mag
-0.562176,0.216672,0.915488,1.1
-0.5651039999999999,0.21520799999999998,0.908168,1.09
-0.58072,0.211792,0.878888,1.07
-0.576328,0.211792,0.872544,1.07
-0.580232,0.21716,0.892064,1.09
-0.573888,0.20349599999999998,0.898408,1.09
-0.5699839999999999,0.19178399999999998,0.904264,1.09
-0.56608,0.196664,0.9003599999999999,1.08
-0.576328,0.187392,0.920856,1.1
-0.5626639999999999,0.183,0.88328,1.06
-0.571936,0.169336,0.88084,1.06
-0.580232,0.195688,0.871568,1.07
-0.569496,0.174216,0.8784,1.06
-0.580232,0.152256,0.865224,1.05
-0.585112,0.149328,0.864248,1.05
-0.584624,0.151768,0.87596,1.06
-0.571936,0.18056,0.894992,1.08
-0.58072,0.16591999999999998,0.88328,1.07
-0.586576,0.142008,0.877424,1.06
-0.58072,0.137128,0.887184,1.07
-0.5724239999999999,0.132248,0.8744959999999999,1.05
-0.589016,0.121512,0.881328,1.07
-0.581208,0.114192,0.866688,1.05
-0.569496,0.105896,0.87108,1.05
-0.587552,0.137616,0.870104,1.06
-0.59292,0.129808,0.854976,1.05
-0.599264,0.159576,0.869128,1.07
-0.5934079999999999,0.138104,0.887672,1.08
-0.556808,0.10931199999999999,0.885232,1.05
-0.5612,0.125416,0.8793759999999999,1.05
-0.574376,0.12444,0.8906,1.07
-0.5724239999999999,0.12932,0.883768,1.06
-0.571936,0.13419999999999999,0.888648,1.07
-0.58804,0.132248,0.869128,1.06
-0.589992,0.096136,0.874008,1.06
-0.5978,0.09467199999999999,0.891576,1.08
-0.597312,0.115656,0.874984,1.07
-0.6119519999999999,0.118584,0.879864,1.08
-0.6119519999999999,0.101992,0.9213439999999999,1.11
-0.57828,0.094184,0.915,1.09
-0.582672,0.101992,0.895968,1.07
-0.601704,0.09272,0.876448,1.07
-0.59536,0.10004,0.923296,1.1
-0.599752,0.107848,0.909632,1.09
-0.60756,0.116144,0.903776,1.1
-0.60268,0.121512,0.903776,1.09
-0.608048,0.127368,0.915,1.11
-0.610976,0.127856,0.908168,1.1
-0.610976,0.12932,0.924272,1.12
-0.59292,0.122976,0.9423279999999999,1.12
-0.577304,0.125904,0.9384239999999999,1.11
-0.599752,0.132736,0.94184,1.12
-0.607072,0.13663999999999998,0.904752,1.1
-0.621712,0.149328,0.948184,1.14
-0.62464,0.150304,0.945256,1.14
-0.606584,0.156648,0.953064,1.14
-0.589504,0.152744,0.950624,1.13
-0.5958479999999999,0.154696,0.950624,1.13
-0.61244,0.16348,0.940376,1.13
-0.621712,0.166896,0.953552,1.15
-0.615856,0.16836,0.964288,1.16
-0.606096,0.174704,0.99064,1.17
-0.6095119999999999,0.168848,0.988688,1.17
-0.620248,0.162992,0.9545279999999999,1.15
-0.61976,0.16836,0.955992,1.15
-0.630008,0.177144,0.9803919999999999,1.18
-0.625128,0.174704,0.979416,1.17
-0.6119519999999999,0.20008,1.00528,1.19
-0.61244,0.19519999999999998,0.997472,1.19
-0.610488,0.192272,0.960384,1.15
-0.604144,0.193736,0.987712,1.17
-0.608536,0.197152,1.001376,1.19
-0.608048,0.20691199999999998,1.025288,1.21
-0.615368,0.203984,1.031144,1.22
-0.60024,0.222528,0.969168,1.16
-0.621712,0.226432,0.97844,1.18
-0.630008,0.233264,1.01016,1.21
-0.6168319999999999,0.225944,1.009672,1.2
-0.625616,0.223016,1.01748,1.22
-0.6426959999999999,0.220576,1.01504,1.22
-0.643184,0.237656,1.00772,1.22
-0.646112,0.252296,1.028216,1.24
-0.646112,0.262544,1.052616,1.26
-0.629032,0.26352,1.055544,1.26
-0.611464,0.276208,1.048712,1.24
-0.631472,0.26596,1.00528,1.22
-0.638304,0.258152,1.02724,1.24
-0.638304,0.274256,1.04188,1.25
-0.6426959999999999,0.273768,1.068232,1.28
-0.642208,0.2806,1.07116,1.28
-0.641232,0.289872,1.082872,1.29
-0.648552,0.301096,1.067744,1.29
-0.654896,0.287432,1.062376,1.28
-0.659288,0.289872,1.087264,1.3
-0.664168,0.30256,1.102392,1.32
