X,Y,Z,mag
0.534848,-1.0389519999999999,-2.06424,2.37
0.5392399999999999,-1.042856,-2.067168,2.38
0.538264,-1.037488,-2.066192,2.37
0.544608,-1.0389519999999999,-2.056432,2.37
0.549976,-1.048224,-2.0608239999999998,2.38
0.530456,-1.05408,-2.068632,2.38
0.521184,-1.047248,-2.065216,2.37
0.522648,-1.04188,-2.06668,2.37
0.5133759999999999,-1.04432,-2.07156,2.38
0.510448,-1.048712,-2.07644,2.38
0.505568,-1.057984,-2.068632,2.38
0.49288,-1.05652,-2.05204,2.36
0.488488,-1.064328,-2.053016,2.36
0.48897599999999997,-1.053104,-2.059848,2.36
0.497272,-1.060424,-2.0535039999999998,2.36
0.50752,-1.065304,-2.046672,2.36
0.497272,-1.060424,-2.03008,2.34
0.492392,-1.0614,-2.012024,2.33
0.49141599999999996,-1.0833599999999999,-2.024712,2.35
0.503128,-1.074576,-2.024224,2.35
0.493368,-1.075064,-2.02032,2.34
0.488,-1.077504,-2.012024,2.33
0.486048,-1.061888,-2.026664,2.34
0.478728,-1.055056,-2.027152,2.33
0.47482399999999997,-1.061888,-2.038376,2.35
0.490928,-1.052128,-2.04472,2.35
0.482144,-1.076528,-2.016416,2.34
0.459696,-1.086288,-2.028616,2.35
0.472872,-1.089216,-2.028128,2.35
0.464576,-1.113616,-1.997384,2.33
0.467504,-1.087752,-1.99592,2.32
0.469944,-1.087264,-1.997384,2.32
0.460184,-1.0492,-1.992504,2.3
0.47482399999999997,-1.0882399999999999,-1.9929919999999999,2.32
0.49776,-1.1204479999999999,-1.992016,2.34
0.49580799999999997,-1.13216,-1.992504,2.34
0.49288,-1.180472,-1.982256,2.36
0.472872,-1.123864,-1.979816,2.33
0.494832,-1.003816,-1.979328,2.27
0.501176,-1.1794959999999999,-1.9681039999999999,2.35
0.47482399999999997,-1.159,-1.945168,2.31
0.513864,-1.131672,-1.962736,2.32
0.52948,-1.13704,-1.9656639999999999,2.33
0.53436,-1.138504,-1.9656639999999999,2.33
0.52216,-1.152168,-1.9607839999999999,2.33
0.542168,-1.057984,-1.9681039999999999,2.3
0.532408,-1.074576,-1.960296,2.3
0.526064,-1.099952,-1.952976,2.3
0.544608,-1.116544,-1.9461439999999999,2.31
0.5441199999999999,-1.123376,-1.977376,2.34
0.527528,-1.116056,-1.976888,2.33
0.542656,-1.111176,-1.946632,2.31
0.557784,-1.11508,-1.96908,2.33
0.560712,-1.121424,-1.977864,2.34
0.555344,-1.12972,-2.023736,2.38
0.555344,-1.10776,-1.999824,2.35
0.549488,-1.094096,-2.03008,2.37
0.5651039999999999,-1.073112,-2.03252,2.37
0.5675439999999999,-1.077016,-2.04472,2.38
0.569496,-1.0809199999999999,-2.043256,2.38
0.563152,-1.086288,-2.06668,2.4
0.553392,-1.099464,-2.084248,2.42
0.554856,-1.099952,-2.0681439999999998,2.41
0.589504,-1.094584,-2.068632,2.41
0.608536,-1.128256,-2.06668,2.43
0.580232,-1.14192,-2.077416,2.44
0.566568,-1.118984,-2.03984,2.39
0.577304,-1.141432,-2.053016,2.42
0.58072,-1.1712,-2.062288,2.44
0.584624,-1.1770559999999999,-2.0608239999999998,2.44
0.605608,-1.192672,-2.060336,2.46
0.60024,-1.191208,-2.091568,2.48
0.584624,-1.175104,-2.114016,2.49
0.581696,-1.1941359999999999,-2.112552,2.5
0.605608,-1.179008,-2.09108,2.48
0.605608,-1.1721759999999999,-2.094008,2.48
0.603656,-1.196576,-2.1545199999999998,2.54
0.5958479999999999,-1.1794959999999999,-2.157448,2.53
0.608048,-1.194624,-2.155984,2.54
0.600728,-1.186328,-2.157448,2.53
0.607072,-1.208776,-2.155496,2.54
0.628056,-1.219512,-2.149152,2.55
0.62708,-1.21024,-2.14232,2.54
0.603656,-1.203408,-2.135488,2.52
0.597312,-1.22488,-2.127192,2.53
0.611464,-1.225856,-2.102792,2.51
0.6119519999999999,-1.203408,-2.10572,2.5
0.615368,-1.214144,-2.141832,2.54
0.611464,-1.2312239999999999,-2.14232,2.55
0.606584,-1.242936,-2.119384,2.53
0.61,-1.269288,-2.09352,2.52
0.61244,-1.2263439999999999,-2.076928,2.49
0.6143919999999999,-1.2444,-2.0901039999999997,2.51
0.602192,-1.230248,-2.1106,2.52
0.599264,-1.2312239999999999,-2.107184,2.51
0.602192,-1.244888,-2.111576,2.52
0.609024,-1.24684,-2.095472,2.51
0.612928,-1.24196,-2.114504,2.53
0.631472,-1.245864,-2.139392,2.55
0.570472,-1.26636,-2.137928,2.55
0.594384,-1.25416,-2.081808,2.5
0.603656,-1.244888,-2.090592,2.51
0.599752,-1.272216,-2.057896,2.49
0.598776,-1.306864,-2.0510639999999998,2.5
0.603656,-1.27124,-2.0535039999999998,2.49
0.608536,-1.2444,-2.063752,2.49
0.59048,-1.284416,-2.084248,2.52
0.598776,-1.281,-2.0608239999999998,2.5
0.603168,-1.2634319999999999,-2.073512,2.5
0.575352,-1.2805119999999999,-2.12524,2.55
0.553392,-1.2805119999999999,-2.143784,2.56
0.5675439999999999,-1.264896,-2.153056,2.56
0.574864,-1.281,-2.1618399999999998,2.58
0.57584,-1.255624,-2.1447599999999998,2.55
0.57828,-1.293688,-2.121824,2.55
0.578768,-1.30784,-2.11548,2.55
0.56608,-1.296616,-2.1106,2.54
0.562176,-1.337608,-2.0862,2.54
0.552416,-1.343464,-2.072048,2.53
0.568032,-1.334192,-2.09108,2.54
0.549,-1.325896,-2.0901039999999997,2.54
0.567056,-1.321016,-2.103768,2.55
0.555344,-1.321992,-2.059848,2.51
0.547048,-1.318576,-2.055456,2.5
0.557784,-1.318576,-2.052528,2.5
