X,Y,Z,mag
0.303048,-1.535736,-0.807152,1.76
0.305,-1.525488,-0.796416,1.75
0.313784,-1.538664,-0.77104,1.75
0.318176,-1.527928,-0.774456,1.74
0.31476,-1.516216,-0.793488,1.74
0.309392,-1.525976,-0.803248,1.75
0.306464,-1.5269519999999999,-0.796416,1.75
0.32696,-1.520608,-0.7686,1.73
0.326472,-1.516704,-0.7807999999999999,1.74
0.321104,-1.52256,-0.7807999999999999,1.74
0.321104,-1.4884,-0.782264,1.71
0.306952,-1.501576,-0.767624,1.71
0.310368,-1.50792,-0.7686,1.72
0.314272,-1.49816,-0.75396,1.71
0.31964,-1.504016,-0.743712,1.71
0.32452,-1.514264,-0.7412719999999999,1.72
0.307928,-1.495232,-0.743712,1.7
0.293288,-1.497184,-0.751032,1.7
0.307928,-1.500112,-0.726144,1.69
0.297192,-1.490352,-0.706624,1.68
0.29670399999999997,-1.48352,-0.706624,1.67
0.301096,-1.48352,-0.7080879999999999,1.67
0.308904,-1.484496,-0.709064,1.67
0.301096,-1.474736,-0.701256,1.66
0.301584,-1.472296,-0.685152,1.65
0.311344,-1.462048,-0.7080879999999999,1.65
0.291336,-1.452288,-0.722728,1.65
0.289384,-1.455216,-0.747616,1.66
0.28011199999999997,-1.453752,-0.74908,1.66
0.282064,-1.448872,-0.7129679999999999,1.64
0.2928,-1.449848,-0.738344,1.65
0.279624,-1.447896,-0.750056,1.65
0.279136,-1.428864,-0.769088,1.65
0.304512,-1.447408,-0.761768,1.66
0.321104,-1.44448,-0.74176,1.66
0.307928,-1.437648,-0.73688,1.64
0.310368,-1.4308159999999999,-0.723216,1.63
0.296216,-1.4308159999999999,-0.709552,1.62
0.27572,-1.4308159999999999,-0.725656,1.63
0.266448,-1.433744,-0.7105279999999999,1.62
0.255224,-1.425448,-0.667096,1.59
0.260104,-1.4210559999999999,-0.64172,1.58
0.224968,-1.414224,-0.673928,1.58
0.200568,-1.396168,-0.7198,1.58
0.205936,-1.40788,-0.725656,1.6
0.20008,-1.417152,-0.6895439999999999,1.59
0.195688,-1.417152,-0.692472,1.59
0.200568,-1.4088559999999999,-0.70028,1.59
0.210816,-1.392752,-0.683688,1.57
0.210328,-1.394704,-0.714432,1.58
0.179584,-1.380552,-0.740784,1.58
0.204472,-1.365912,-0.74908,1.57
0.18788,-1.372744,-0.738344,1.57
0.181536,-1.380552,-0.782264,1.6
0.171288,-1.375672,-0.781288,1.59
0.170312,-1.365424,-0.777872,1.58
0.1708,-1.358592,-0.7807999999999999,1.58
0.166408,-1.358592,-0.8091039999999999,1.59
0.172752,-1.3742079999999999,-0.813008,1.61
0.17812,-1.3742079999999999,-0.794952,1.6
0.186904,-1.3644479999999999,-0.796416,1.59
0.188856,-1.3717679999999999,-0.786656,1.59
0.194712,-1.357128,-0.791048,1.58
0.193736,-1.357128,-0.759328,1.57
0.181536,-1.353712,-0.789584,1.58
0.170312,-1.355176,-0.783728,1.57
0.179584,-1.360544,-0.792512,1.58
0.19178399999999998,-1.364936,-0.789584,1.59
0.208864,-1.360056,-0.798368,1.59
0.186904,-1.3595679999999999,-0.805688,1.59
0.18934399999999998,-1.352736,-0.785192,1.58
0.206424,-1.348832,-0.769088,1.57
0.195688,-1.35176,-0.769576,1.57
0.222528,-1.347368,-0.761768,1.56
0.213744,-1.335656,-0.708576,1.53
0.223504,-1.341024,-0.74664,1.55
0.227408,-1.342488,-0.721264,1.54
0.243024,-1.331264,-0.7290719999999999,1.54
0.23277599999999998,-1.3297999999999999,-0.7363919999999999,1.54
0.21228,-1.3322399999999999,-0.755912,1.55
0.221552,-1.333704,-0.739808,1.54
0.239608,-1.3346799999999999,-0.694912,1.52
0.235704,-1.328336,-0.7056479999999999,1.52
0.20935199999999998,-1.331264,-0.728096,1.53
0.221552,-1.328336,-0.732,1.53
0.20935199999999998,-1.321504,-0.723704,1.52
0.23424,-1.308816,-0.755912,1.53
0.252296,-1.299056,-0.740784,1.52
0.241072,-1.312232,-0.7622559999999999,1.54
0.229848,-1.311744,-0.7646959999999999,1.54
0.21228,-1.292224,-0.765672,1.52
0.199104,-1.281488,-0.772016,1.51
0.225944,-1.287344,-0.752008,1.51
0.23033599999999999,-1.2829519999999999,-0.711992,1.49
0.216184,-1.281,-0.74176,1.5
0.214232,-1.2805119999999999,-0.789584,1.52
0.18788,-1.2780719999999999,-0.772016,1.5
0.191296,-1.26636,-0.79544,1.51
0.186904,-1.270264,-0.809592,1.52
0.18348799999999998,-1.240008,-0.823256,1.5
0.18788,-1.251232,-0.81252,1.5
0.177144,-1.248304,-0.819352,1.5
0.11956,-1.230248,-0.872544,1.51
0.108336,-1.224392,-0.904264,1.53
0.24888,-1.26636,-0.75396,1.49
0.294752,-1.2780719999999999,-0.648064,1.46
0.184464,-1.24196,-0.77348,1.47
