PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,1036565350,0.15554702,-0.5955591,-0.14132081,-0.77533424,0.2081480175256729,-1.6832706928253174,-1.4822834730148315,-1.44463312625885,2.745624303817749, -0.49249422550201416
2,1036582017,0.15550143,-0.5954009,-0.14175057,-0.77538633,9.58388614654541,0.3779410123825073,2.4908177852630615,1.8161516189575195,-0.17006830871105194, -0.5380587577819824
3,1036598684,0.15528974,-0.59523165,-0.14224193,-0.77546865,9.564858436584473,0.40973037481307983,2.5001273155212402,1.1610429286956787,-0.06302005052566528, -0.6466822624206543
4,1036615351,0.154992,-0.5949727,-0.14286776,-0.77561206,9.533220291137695,0.35173553228378296,2.4653635025024414,1.2911680936813354,-0.1108773723244667, -0.6868685483932495
5,1036632018,0.15496829,-0.5948891,-0.14330521,-0.7756002,9.514595985412598,0.3585811257362366,2.4914088249206543,2.013638496398926,-0.24346153438091278, -0.7161311507225037
6,1036648685,0.15509176,-0.59477454,-0.14369585,-0.77559096,9.514304161071777,0.38374683260917664,2.4458112716674805,2.649768352508545,-0.2587907314300537, -0.7177830934524536
7,1036665352,0.15522511,-0.5947558,-0.14412935,-0.77549833,9.560688018798828,0.38976535201072693,2.482034921646118,2.880244255065918,-0.4670860171318054, -0.6786980628967285
8,1036682019,0.1553459,-0.59473515,-0.14453736,-0.7754139,9.518856048583984,0.4220069944858551,2.4781389236450195,2.6926567554473877,-0.4724902808666229, -0.6945652365684509
9,1036698686,0.1554153,-0.5947353,-0.14485857,-0.77533996,9.55675983428955,0.43487823009490967,2.520200490951538,1.9395344257354736,-0.6160814762115479, -0.35985201597213745
10,1036715353,0.15538274,-0.5947217,-0.14504789,-0.77532154,9.587913513183594,0.44543495774269104,2.5237929821014404,0.7537369728088379,-0.5844945907592773, -0.2955193817615509
11,1036732020,0.15536876,-0.5947067,-0.1452347,-0.7753009,9.54805850982666,0.42268672585487366,2.5166189670562744,0.8077924847602844,-0.6906976699829102, -0.10644637048244476
12,1036748687,0.15539312,-0.5946856,-0.14541471,-0.7752785,9.542777061462402,0.4342367351055145,2.505035400390625,0.9696391820907593,-0.689814031124115, 0.021482650190591812
13,1036765354,0.15546522,-0.5946625,-0.14558892,-0.77524906,9.532231330871582,0.43079477548599243,2.438622236251831,1.241210699081421,-0.6348875761032104, 0.28990375995635986
14,1036782021,0.15548521,-0.5946819,-0.14568214,-0.7752126,9.568251609802246,0.4624354839324951,2.4997007846832275,1.1709933280944824,-0.5882340669631958, 0.49603471159935
15,1036798688,0.1554945,-0.5946956,-0.14571044,-0.77519494,9.600878715515137,0.48842206597328186,2.5230329036712646,0.45910120010375977,-0.4331619441509247, 0.6399140954017639
16,1036815355,0.1557552,-0.5946418,-0.14593925,-0.7751409,9.53342056274414,0.37170013785362244,2.450467586517334,0.19840234518051147,-0.32288646697998047, 0.5756646394729614
