PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,582351173,0.60075706,0.058221053,-0.78781354,-0.12268281,0.3899456858634949,-0.5322031378746033,1.1924916505813599,-0.867908775806427,1.0541878938674927, -0.5218253135681152
2,582367840,0.59949994,0.058911808,-0.78865725,-0.12308147,9.154269218444824,2.7075021266937256,-2.6119587421417236,0.568416178226471,0.3580206632614136, 1.6970654726028442
3,582384507,0.5982008,0.059961952,-0.7895427,-0.12321887,9.124170303344727,2.719130277633667,-2.601269006729126,1.077135682106018,0.22881744801998138, 1.5454894304275513
4,582401174,0.5972216,0.06099029,-0.7901992,-0.12325467,9.215641975402832,2.6842916011810303,-2.5356533527374268,1.2664008140563965,0.16862763464450836, 1.2701659202575684
5,582417841,0.596796,0.061750468,-0.79049695,-0.12302861,9.324544906616211,2.637596845626831,-2.5116491317749023,1.520209789276123,0.11055080592632294, 1.2381242513656616
6,582434508,0.5967871,0.062306806,-0.7905434,-0.122491196,9.403487205505371,2.5837690830230713,-2.4665169715881348,1.559922218322754,0.2337222695350647, 1.2934348583221436
7,582451175,0.5970476,0.062454287,-0.7904187,-0.12195029,9.444979667663574,2.585299253463745,-2.467177152633667,0.8698264956474304,0.3347259759902954, 1.306215763092041
8,582467842,0.5974463,0.062416494,-0.7902045,-0.12140455,9.423047065734863,2.581374406814575,-2.4784762859344482,0.4097967743873596,0.5203155875205994, 1.4466884136199951
9,582484509,0.59786034,0.06218151,-0.7899746,-0.12098216,9.347614288330078,2.6044912338256836,-2.4780476093292236,-0.19953572750091553,0.571835458278656, 1.5387276411056519
10,582501176,0.5982427,0.06194082,-0.78976023,-0.12061446,9.242498397827148,2.672821283340454,-2.5317413806915283,-0.20445339381694794,0.5725655555725098, 1.5412378311157227
11,582517843,0.5985235,0.0618276,-0.78960806,-0.12027658,9.148694038391113,2.7017533779144287,-2.5981385707855225,0.09314697980880737,0.41202512383461, 1.4516187906265259
12,582534510,0.5986609,0.06169413,-0.7895462,-0.120065905,9.085298538208008,2.7403838634490967,-2.6205525398254395,0.5382445454597473,0.28753459453582764, 1.3577485084533691
13,582551177,0.59867245,0.06167787,-0.7895701,-0.11985949,9.11226749420166,2.7363598346710205,-2.6158220767974854,1.2984936237335205,0.0303446464240551, 1.2284427881240845
14,582567844,0.5986169,0.06173237,-0.78964067,-0.119643755,9.18199634552002,2.6968119144439697,-2.567852735519409,1.5049060583114624,-0.15500803291797638, 1.2733287811279297
15,582584511,0.5985271,0.061811853,-0.7897355,-0.119425215,9.260226249694824,2.6908435821533203,-2.5551249980926514,1.7891173362731934,-0.32143938541412354, 1.1892168521881104
16,582601178,0.59845215,0.06191744,-0.7898188,-0.119195804,9.410944938659668,2.6516165733337402,-2.383080005645752,1.9786131381988525,-0.20112374424934387, 1.0852549076080322
17,582617845,0.598513,0.06172675,-0.78979146,-0.1191702,9.524917602539062,2.482747793197632,-2.3959898948669434,-0.0588579885661602,0.3234948217868805, 1.658646583557129
18,582634512,0.5986617,0.061614007,-0.78971475,-0.11899033,9.51401138305664,2.6146864891052246,-2.456087350845337,-0.0404936745762825,0.5043715834617615, 1.7550266981124878
19,582651179,0.5988275,0.061405916,-0.7896281,-0.11883869,9.371859550476074,2.589836835861206,-2.529097318649292,0.1228448897600174,0.6083078980445862, 1.8497809171676636
20,582667846,0.59898835,0.061183117,-0.78954244,-0.118711315,9.208135604858398,2.6329710483551025,-2.570887327194214,-0.07297057658433914,0.6169393658638, 1.7585996389389038
21,582684513,0.5991133,0.06104907,-0.7894823,-0.11855004,9.108077049255371,2.670396566390991,-2.6011064052581787,0.27366527915000916,0.4960731863975525, 1.5223867893218994
22,582701180,0.59919256,0.0609816,-0.7894484,-0.1184102,9.09668254852295,2.651597261428833,-2.6010591983795166,0.5661495327949524,0.3997694253921509, 1.1417691707611084
23,582717847,0.5992413,0.061002795,-0.7894365,-0.11823206,9.149489402770996,2.6505420207977295,-2.512354850769043,1.1782803535461426,0.3846323490142822, 0.8782147169113159
24,582734514,0.5992724,0.060997713,-0.78943145,-0.11810954,9.254012107849121,2.6629436016082764,-2.5759427547454834,1.052406668663025,0.31221240758895874, 0.7605627775192261
25,582751181,0.5992666,0.060994834,-0.78945315,-0.11799579,9.4263277053833,2.6989641189575195,-2.5785486698150635,0.9300802946090698,0.015143509954214096, 0.7515982985496521
26,582767848,0.59929854,0.060896818,-0.7894487,-0.117914476,9.418594360351562,2.605182409286499,-2.437716245651245,0.8137730956077576,0.37605205178260803, 1.0334659814834595
27,582784515,0.5993698,0.060872592,-0.78942347,-0.11773378,9.42082405090332,2.6769917011260986,-2.523261785507202,0.8370935320854187,0.4621363580226898, 1.2290958166122437
28,582801182,0.5994566,0.060703736,-0.78938293,-0.11764942,9.296280860900879,2.6892991065979004,-2.5358991622924805,0.6906400918960571,0.7052777409553528, 1.3579021692276
29,582817849,0.59956,0.060528573,-0.7893327,-0.117550634,9.218364715576172,2.650048017501831,-2.573866844177246,0.5375018119812012,0.7950630784034729, 1.5456689596176147
30,582834516,0.59964603,0.06035621,-0.7892953,-0.11745167,9.175885200500488,2.6942310333251953,-2.648332118988037,0.3112391531467438,0.6249563097953796, 1.6063581705093384
31,582851183,0.59971905,0.06021399,-0.7892731,-0.117300935,9.177512168884277,2.6721267700195312,-2.618999481201172,0.4908353388309479,0.5543676614761353, 1.759432315826416
32,582867850,0.59975386,0.06011817,-0.7892822,-0.117111154,9.193278312683105,2.714104413986206,-2.6003057956695557,1.0368083715438843,0.35649675130844116, 1.6465826034545898
33,582884517,0.59977835,0.060029306,-0.7893004,-0.11690789,9.228404998779297,2.6804914474487305,-2.5231118202209473,0.9124715328216553,0.24456925690174103, 1.7648494243621826
34,582901184,0.5997976,0.05999141,-0.789325,-0.116662994,9.317241668701172,2.6752872467041016,-2.4575695991516113,1.138004183769226,0.17836043238639832, 1.7346649169921875
35,582917851,0.5998194,0.05987164,-0.7893484,-0.116453454,9.422502517700195,2.6454203128814697,-2.430243730545044,1.061089277267456,0.1969040334224701, 1.917065978050232
36,582934518,0.5998456,0.05964516,-0.78936654,-0.11631018,9.472755432128906,2.6030666828155518,-2.4255571365356445,0.515474796295166,0.14047926664352417, 2.137155771255493
37,582951185,0.59987885,0.059379745,-0.7893803,-0.11618148,9.407490730285645,2.6281144618988037,-2.468385934829712,0.0682898685336113,0.04759480059146881, 2.3123722076416016
38,582967852,0.59991235,0.05910148,-0.78938776,-0.116099395,9.309733390808105,2.6208019256591797,-2.516202449798584,-0.4556114971637726,-0.04147976636886597, 2.230936288833618
39,582984519,0.5999383,0.05884852,-0.7893982,-0.11602337,9.24013614654541,2.6516547203063965,-2.548356771469116,-0.4074852764606476,-0.08467558026313782, 2.065171241760254
40,583001186,0.59993654,0.058617506,-0.78942525,-0.115965396,9.198569297790527,2.6731202602386475,-2.6184134483337402,0.06325697153806686,-0.15344569087028503, 1.7434630393981934
41,583017853,0.59992445,0.05850499,-0.78946286,-0.115829065,9.174296379089355,2.633903980255127,-2.601421356201172,0.6259679794311523,-0.18762582540512085, 1.536307454109192
42,583034520,0.5999021,0.058449943,-0.7895054,-0.11568238,9.190469741821289,2.6234476566314697,-2.6266865730285645,0.9889512062072754,-0.1655348837375641, 1.251366138458252
43,583051187,0.5998889,0.05842653,-0.7895469,-0.115477994,9.236136436462402,2.6281282901763916,-2.6183972358703613,1.2837532758712769,-0.06871886551380157, 1.365496277809143
44,583067854,0.5998821,0.058415733,-0.78958315,-0.11527128,9.27132511138916,2.6315739154815674,-2.582127094268799,1.2808846235275269,0.006819380912929773, 1.326564908027649
45,583084521,0.5999032,0.05839519,-0.7895971,-0.11507674,9.317020416259766,2.6296188831329346,-2.5570054054260254,1.1639115810394287,0.25102367997169495, 1.337591290473938
46,583101188,0.5999525,0.058338773,-0.7895856,-0.11492767,9.333592414855957,2.6380207538604736,-2.5033178329467773,0.9483038783073425,0.517498254776001, 1.2973921298980713
47,583117855,0.60005033,0.05829556,-0.78953075,-0.11481489,9.367742538452148,2.641848087310791,-2.5268876552581787,0.6278120875358582,0.9074898958206177, 1.1310888528823853
48,583134522,0.6001959,0.058242805,-0.7894389,-0.11471176,9.32778263092041,2.5933406352996826,-2.4997940063476562,0.5257454514503479,1.3084439039230347, 1.1550750732421875
49,583151189,0.60034084,0.058227558,-0.78934705,-0.11459351,9.315702438354492,2.68449330329895,-2.573791027069092,0.8927626013755798,1.364087462425232, 0.9698824882507324
50,583167856,0.60050386,0.058230963,-0.78923875,-0.11448422,9.239605903625488,2.60288143157959,-2.547689914703369,0.885911226272583,1.5428897142410278, 0.8551503419876099
51,583184523,0.60065013,0.058255512,-0.7891429,-0.11436547,9.253206253051758,2.619582176208496,-2.5453197956085205,1.0295472145080566,1.4226893186569214, 0.772818386554718
52,583201190,0.6007812,0.058275133,-0.7890593,-0.11424361,9.2521333694458,2.632676124572754,-2.5498077869415283,0.94795823097229,1.2669771909713745, 0.8319966197013855
53,583217857,0.6009094,0.058278475,-0.78897953,-0.114118814,9.235954284667969,2.6467504501342773,-2.5182430744171143,0.8127998113632202,1.2048406600952148, 0.9594197273254395
54,583234524,0.6010022,0.058222577,-0.7889275,-0.114017054,9.249053955078125,2.6629552841186523,-2.495213270187378,0.6193599104881287,0.8797770738601685, 1.1385165452957153
55,583251191,0.60107607,0.058173433,-0.7888878,-0.11392747,9.308902740478516,2.735532283782959,-2.474778890609741,0.6207045912742615,0.7275992631912231, 1.045619249343872
