PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,199672334,0.7655076,-0.14623979,-0.62073267,-0.08545789,0.38068389892578125,0.42959699034690857,0.001813635230064392,0.14770126342773438,-0.6848476529121399, -1.7845720052719116
2,199689001,0.76561725,-0.14634685,-0.6206328,-0.08501691,9.595183372497559,-1.1768821477890015,1.8342899084091187,0.5407289266586304,0.29448843002319336, 1.4658852815628052
3,199705668,0.76566565,-0.1466381,-0.62053186,-0.08481559,9.575766563415527,-1.1714189052581787,1.804046630859375,0.48594337701797485,0.26029548048973083, 1.5077364444732666
4,199722335,0.7656051,-0.14694831,-0.6205429,-0.084744394,9.572293281555176,-1.1595877408981323,1.805481195449829,0.5702091455459595,0.22574394941329956, 1.4320123195648193
5,199739002,0.7655374,-0.14720158,-0.62056786,-0.084734276,9.592856407165527,-1.1399273872375488,1.8132761716842651,0.6240214109420776,0.29049286246299744, 1.5076467990875244
6,199755669,0.7654945,-0.14727896,-0.62061596,-0.08463516,9.612058639526367,-1.1617950201034546,1.8252580165863037,0.7232449650764465,0.24503028392791748, 1.6448794603347778
7,199772336,0.7654711,-0.14731658,-0.62065625,-0.08448463,9.603812217712402,-1.157388687133789,1.8176546096801758,0.5768044590950012,0.14462852478027344, 1.6307159662246704
8,199789003,0.76545876,-0.14733034,-0.6206895,-0.0843281,9.59302806854248,-1.1786173582077026,1.8091830015182495,0.2811442017555237,0.18289388716220856, 1.490870475769043
9,199805670,0.7654621,-0.14735974,-0.62070143,-0.08415916,9.577590942382812,-1.233260154724121,1.7673803567886353,0.6569464802742004,0.25877147912979126, 1.540533423423767
10,199822337,0.7654668,-0.14735705,-0.6207339,-0.08388084,9.63139533996582,-1.247403621673584,1.7848330736160278,1.2019847631454468,0.2827962040901184, 1.4721730947494507
11,199839004,0.76546246,-0.14740886,-0.6207616,-0.083623655,9.655444145202637,-1.1902137994766235,1.8382676839828491,1.3322765827178955,0.24385210871696472, 1.41650390625
12,199855671,0.76545584,-0.14751606,-0.6207673,-0.08345391,9.635504722595215,-1.13089919090271,1.8493168354034424,0.699822187423706,0.19194796681404114, 1.3491426706314087
13,199872338,0.7654461,-0.1476738,-0.62074673,-0.083415486,9.65014362335205,-1.1026934385299683,1.8333970308303833,0.21224603056907654,0.17687489092350006, 1.266221523284912
14,199889005,0.7654575,-0.14773981,-0.6207309,-0.0833128,9.643328666687012,-1.1736791133880615,1.8162122964859009,0.31426143646240234,0.2346315085887909, 1.3731801509857178
15,199905672,0.76550263,-0.14774084,-0.6207018,-0.08311285,9.575173377990723,-1.2055647373199463,1.769489049911499,0.6988105177879333,0.42516446113586426, 1.5528148412704468
16,199922339,0.7655542,-0.14777854,-0.6206505,-0.082953535,9.639135360717773,-1.1628484725952148,1.7686145305633545,1.2127037048339844,0.5455697178840637, 1.586533784866333
17,199939006,0.765597,-0.14782274,-0.6206083,-0.08279548,9.68343734741211,-1.1505244970321655,1.8427764177322388,0.9374184012413025,0.5551232099533081, 1.5808861255645752
18,199955673,0.7656565,-0.14786872,-0.6205443,-0.08264404,9.628205299377441,-1.1925355195999146,1.818239450454712,0.4351405203342438,0.7340406775474548, 1.5535190105438232
19,199972340,0.7657201,-0.1479085,-0.6204752,-0.08250171,9.62004280090332,-1.211980938911438,1.778990626335144,0.7356927394866943,0.7225791215896606, 1.5063532590866089
20,199989007,0.765775,-0.14796004,-0.6204101,-0.08238983,9.660710334777832,-1.2019997835159302,1.8057209253311157,0.9041473865509033,0.6714432835578918, 1.398293137550354
21,200005674,0.76582795,-0.14796951,-0.62036276,-0.082236,9.655540466308594,-1.1893255710601807,1.848616361618042,0.8992299437522888,0.6008163690567017, 1.3179335594177246
22,200022341,0.7658793,-0.14801094,-0.6203053,-0.082117185,9.632807731628418,-1.1490507125854492,1.8746531009674072,0.6507866382598877,0.6009955406188965, 1.2913089990615845
23,200039008,0.765924,-0.14808358,-0.62024575,-0.0820196,9.62215805053711,-1.1279714107513428,1.8416907787322998,0.39667028188705444,0.5125805735588074, 1.3517935276031494
24,200055675,0.76597035,-0.14818096,-0.6201686,-0.08199212,9.611836433410645,-1.1455214023590088,1.8229340314865112,0.5069841742515564,0.5713745355606079, 1.2602791786193848
