PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,1210215317,0.68918455,-0.045218166,-0.7231535,0.005396627,0.7203734517097473,-2.913322925567627,-1.611072301864624,-1.1510646343231201,-0.8101281523704529, -5.0294108390808105
2,1210231984,0.68989867,-0.046049874,-0.722413,0.006232462,9.8721284866333,-0.7628802061080933,-0.3727245330810547,0.5918135046958923,0.3460468053817749, 1.687537670135498
3,1210248651,0.69071877,-0.04694614,-0.7215669,0.0067028417,9.889749526977539,-0.7482405304908752,-0.3953886926174164,0.5691589713096619,0.058659471571445465, 1.747381567955017
4,1210265318,0.69125754,-0.047474254,-0.72101325,0.0070162774,9.870294570922852,-0.7395032644271851,-0.4295157492160797,0.4386367201805115,-0.2793577313423157, 1.572523832321167
5,1210281985,0.69149977,-0.047898844,-0.72075254,0.0070489408,9.878299713134766,-0.7659047842025757,-0.47697243094444275,1.3269107341766357,-0.5942274332046509, 1.132010817527771
6,1210298652,0.6915094,-0.048139244,-0.72072643,0.007137098,9.913585662841797,-0.7527797222137451,-0.48362240195274353,1.854289174079895,-0.7351357936859131, 0.7738301157951355
7,1210315319,0.6914281,-0.048233848,-0.72079664,0.0072747837,9.926931381225586,-0.7716382145881653,-0.4593956470489502,2.2945072650909424,-0.6761881113052368, 0.736499547958374
8,1210331986,0.6913317,-0.048429817,-0.7208761,0.0072783693,9.901782035827637,-0.7001516819000244,-0.43707749247550964,1.840650200843811,-0.6661094427108765, 0.6405414938926697
9,1210348653,0.6912804,-0.048591714,-0.720915,0.0072088405,9.893696784973145,-0.6921167969703674,-0.4876916706562042,1.1391055583953857,-0.3253965377807617, 0.7620354294776917
10,1210365320,0.6912171,-0.048713136,-0.72096837,0.007117502,9.876279830932617,-0.6445292234420776,-0.4986031949520111,0.6660006046295166,-0.18122264742851257, 0.8242871165275574
11,1210381987,0.69115543,-0.048741672,-0.7210261,0.0070675137,9.90087890625,-0.6785221695899963,-0.47563138604164124,1.4726085662841797,-0.06821942329406738, 0.9559875726699829
12,1210398654,0.69112325,-0.04874139,-0.7210572,0.0070510493,9.923242568969727,-0.6350898742675781,-0.46388423442840576,1.6573141813278198,0.1641581654548645, 1.0463106632232666
13,1210415321,0.6910833,-0.04885623,-0.7210889,0.006923186,9.911101341247559,-0.6285733580589294,-0.442949116230011,0.6096270680427551,0.07418077439069748, 1.2530052661895752
14,1210431988,0.6910715,-0.04895011,-0.7210945,0.0068588513,9.897583961486816,-0.6880332827568054,-0.4611779451370239,0.572219729423523,0.21964812278747559, 1.5687843561172485
15,1210448655,0.69104046,-0.048916128,-0.7211261,0.0068865195,9.883273124694824,-0.7405592799186707,-0.5103210806846619,1.4622609615325928,-0.06801451742649078, 1.2454622983932495
