PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,890874486,0.5949753,-0.049405754,-0.8017796,0.026699765,1.2987457513809204,-0.6989358067512512,0.5532101988792419,-1.5161187648773193,1.5195695161819458, -3.1347227096557617
2,890891153,0.5951234,-0.05033506,-0.8015858,0.02747092,9.447114944458008,-1.0615423917770386,-2.8865060806274414,-0.37336915731430054,-0.15909330546855927, 2.412005662918091
3,890907820,0.59511703,-0.05111579,-0.8015211,0.028053045,9.45851993560791,-0.9746178984642029,-2.9154460430145264,-1.098106026649475,-0.23778828978538513, 2.811922073364258
4,890924487,0.5949593,-0.051707692,-0.8016054,0.027904904,9.508780479431152,-0.9558071494102478,-2.9342315196990967,-2.180422067642212,-0.3262929618358612, 3.05790638923645
5,890941154,0.5947403,-0.05204051,-0.80175775,0.027576232,9.50780963897705,-0.9723366498947144,-2.920619487762451,-2.5748701095581055,-0.5496997833251953, 3.179374933242798
6,890957821,0.59452146,-0.05224852,-0.8019148,0.027332386,9.47225284576416,-0.9701777100563049,-2.8871865272521973,-2.1772592067718506,-0.8791688680648804, 3.156477928161621
7,890974488,0.5943358,-0.052354496,-0.802047,0.02728958,9.479825019836426,-1.0158264636993408,-2.925750732421875,-0.5677182674407959,-1.2320733070373535, 3.161971092224121
8,890991155,0.5941272,-0.05254508,-0.8021885,0.027301649,9.543510437011719,-0.9443380236625671,-2.9943368434906006,-0.18783071637153625,-1.4182134866714478, 2.9934005737304688
9,891007822,0.5938749,-0.05265177,-0.80236924,0.027282983,9.52975082397461,-0.9748696088790894,-2.9918341636657715,0.12281930446624756,-1.4995466470718384, 2.5644521713256836
10,891024489,0.59361404,-0.05270324,-0.8025594,0.02726253,9.497748374938965,-0.9901730418205261,-2.9576542377471924,0.4599848687648773,-1.4946033954620361, 2.02675199508667
11,891041156,0.59337217,-0.052522816,-0.80274403,0.027440233,9.468812942504883,-1.0195125341415405,-2.976649522781372,1.0497301816940308,-1.4412778615951538, 1.7337558269500732
12,891057823,0.5931508,-0.052392766,-0.802912,0.027559925,9.475271224975586,-1.024390697479248,-3.025967597961426,0.8003392219543457,-1.2638330459594727, 1.3459153175354004
13,891074490,0.5929325,-0.052305326,-0.80307513,0.02767218,9.449544906616211,-1.0429728031158447,-2.9812612533569336,0.5085978507995605,-1.0851589441299438, 1.3228511810302734
14,891091157,0.5927706,-0.052342065,-0.8031897,0.027745374,9.457682609558105,-1.0582376718521118,-2.972978115081787,0.5472601652145386,-0.6868045330047607, 1.372245192527771
15,891107824,0.5926576,-0.052411426,-0.8032652,0.027842036,9.464200019836426,-1.0146199464797974,-3.034141778945923,0.15443818271160126,-0.30992648005485535, 1.561471939086914
16,891124491,0.59256065,-0.052525785,-0.80332786,0.027881168,9.476293563842773,-0.9823756814002991,-3.0333094596862793,0.12079588323831558,-0.14184312522411346, 1.3891624212265015
17,891141158,0.5924923,-0.05254339,-0.8033748,0.027946034,9.50545597076416,-0.9572417736053467,-2.9950363636016846,0.2733963429927826,0.11035871505737305, 1.1156443357467651
18,891157825,0.59246653,-0.05249606,-0.8033925,0.028073497,9.51084041595459,-0.9716477990150452,-2.9869117736816406,0.8083431124687195,0.3587763011455536, 1.1110596656799316
19,891174492,0.59247464,-0.052438326,-0.8033867,0.028177347,9.493709564208984,-0.9748020768165588,-3.012085199356079,1.189997911453247,0.5138099789619446, 0.8342760801315308
20,891191159,0.5925088,-0.052312627,-0.8033651,0.028308874,9.494954109191895,-0.9685365557670593,-3.002519130706787,1.3757539987564087,0.7031390070915222, 0.6529508829116821
21,891207826,0.5925393,-0.05218744,-0.80334723,0.02840982,9.475032806396484,-0.9920945763587952,-2.9820873737335205,1.3472601175308228,0.6287854313850403, 0.4870062470436096
22,891224493,0.5925788,-0.052048024,-0.8033224,0.02853937,9.462445259094238,-1.024178385734558,-2.9847211837768555,1.4738634824752808,0.6600711941719055, 0.5188300609588623
23,891241160,0.5926167,-0.05199381,-0.80329424,0.028644862,9.461262702941895,-1.0330772399902344,-2.9849441051483154,1.0127965211868286,0.6567928791046143, 0.8169234991073608
24,891257827,0.59266305,-0.052044537,-0.80325496,0.028695183,9.485737800598145,-1.0141241550445557,-2.9676830768585205,0.6752979755401611,0.7196080088615417, 0.9862233996391296
25,891274494,0.5927132,-0.052121878,-0.80321115,0.02874669,9.49796199798584,-0.9824982285499573,-2.9584128856658936,0.19562341272830963,0.7651346325874329, 1.2207461595535278
26,891291161,0.59274346,-0.052216582,-0.8031821,0.028761778,9.520806312561035,-0.9593769907951355,-2.9843835830688477,0.06977540254592896,0.5512173771858215, 1.114952802658081
27,891307828,0.59275085,-0.052225105,-0.8031738,0.028827546,9.50972843170166,-0.945568323135376,-2.935472249984741,0.3839535415172577,0.318974107503891, 0.9533109664916992
28,891324495,0.5927642,-0.05221248,-0.80316156,0.028917512,9.527311325073242,-0.9119839668273926,-2.9546148777008057,1.062088131904602,0.25530099868774414, 0.8113142848014832
29,891341162,0.5927696,-0.05212427,-0.80315936,0.029025452,9.52348804473877,-0.9540486335754395,-3.0078818798065186,1.1899724006652832,0.150288924574852, 0.5871647596359253
30,891357829,0.5927631,-0.051976886,-0.80316764,0.029194573,9.563697814941406,-0.9884318709373474,-2.9534966945648193,1.8328125476837158,0.00538506917655468, 0.4894137978553772
