PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,386911148,0.73526525,0.008752392,-0.6752271,-0.058109086,0.6460286378860474,-1.0712016820907593,0.5406631231307983,-1.4594852924346924,2.34611439704895, 0.25587284564971924
2,386927815,0.7354477,0.009086396,-0.675052,-0.05778351,9.841897964477539,0.8621340990066528,0.9059797525405884,1.365509033203125,1.0430322885513306, -0.5453328490257263
3,386944482,0.73584414,0.0096915765,-0.6747047,-0.05668593,9.763484954833984,0.908574640750885,0.8631095290184021,1.2409162521362305,1.0965887308120728, -0.7593653798103333
4,386961149,0.735953,0.009568329,-0.6745643,-0.056963526,9.71731185913086,0.9174954295158386,0.8036496639251709,0.8280138373374939,1.2084392309188843, -1.0111894607543945
5,386977816,0.7358524,0.009943243,-0.67466664,-0.056983683,9.691570281982422,0.9427731037139893,0.8429862856864929,0.7850868105888367,1.4588288068771362, -1.2083815336227417
6,386994483,0.7358572,0.010903884,-0.6746813,-0.056572683,9.715924263000488,0.9889286160469055,0.8009629249572754,0.6606220006942749,1.639987587928772, -1.3701130151748657
7,387011150,0.7358249,0.011782046,-0.6747164,-0.056398526,9.782597541809082,0.9533237814903259,0.8696634769439697,0.513989269733429,1.8138850927352905, -1.3422592878341675
8,387027817,0.735873,0.012342981,-0.6746494,-0.05645261,9.782238960266113,1.0033247470855713,0.9639772772789001,0.7778769731521606,1.9877440929412842, -1.2960026264190674
9,387044484,0.7360893,0.01329539,-0.6744282,-0.05605891,9.8140869140625,0.9936513900756836,0.9469139575958252,0.8281418681144714,1.9901517629623413, -1.1024858951568604
10,387061151,0.73629487,0.013605398,-0.6741781,-0.056291565,9.767796516418457,1.0205621719360352,0.9246709942817688,1.277555227279663,1.9559074640274048, -0.932263970375061
11,387077818,0.73652834,0.014351622,-0.6739334,-0.055981033,9.712400436401367,1.0372779369354248,0.8946593999862671,1.2653889656066895,1.7541178464889526, -0.6596294641494751
12,387094485,0.7367392,0.015215468,-0.673726,-0.05547257,9.687243461608887,1.0685421228408813,0.9121028184890747,0.9279800057411194,1.4880530834197998, -0.37347158789634705
13,387111152,0.7369169,0.015923752,-0.67355037,-0.055046048,9.687867164611816,1.0480601787567139,0.9281473755836487,0.8121210932731628,1.2384828329086304, 0.09441481530666351
14,387127819,0.7370567,0.01653913,-0.6734147,-0.054651048,9.697616577148438,1.0510119199752808,0.926398515701294,0.5894826650619507,0.8472616672515869, 0.30386266112327576
