PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,1045372429,0.52785563,0.47823927,-0.31240484,0.6285372,0.2941223084926605,0.0031694918870925903,-0.028584200888872147,-0.29323288798332214,1.0062836408615112, -0.06663157045841217
2,1045389096,0.52846646,0.47842142,-0.31069505,0.628733,15.549352645874023,1.9363514184951782,5.923962116241455,0.605503499507904,2.9140915870666504, -1.0243159532546997
3,1045405763,0.52973044,0.4775235,-0.30994937,0.6287198,15.661386489868164,1.9328440427780151,5.882668495178223,0.7342968583106995,3.064617156982422, -0.742448091506958
4,1045422430,0.5301788,0.47717795,-0.30962157,0.6287659,15.384772300720215,2.003361701965332,5.934868335723877,1.1323821544647217,3.0410406589508057, -0.8786692023277283
5,1045439097,0.5307336,0.4767676,-0.30881232,0.62900674,15.789880752563477,1.923383355140686,5.7886128425598145,1.0858696699142456,3.394418954849243, -0.5039042234420776
6,1045455764,0.53079146,0.47682044,-0.30889755,0.6288762,15.403129577636719,2.0815563201904297,6.0369720458984375,-0.20933260023593903,2.8410565853118896, -0.7578669786453247
7,1045472431,0.5311965,0.47660547,-0.30841354,0.6289345,15.540874481201172,1.8791605234146118,5.85263729095459,1.331520915031433,3.3509161472320557, -0.15846577286720276
8,1045489098,0.53137195,0.47637802,-0.30826095,0.62903345,15.302623748779297,2.0081946849823,5.845649242401123,0.07524371147155762,3.1075825691223145, -0.3689509630203247
9,1045505765,0.53159416,0.47619584,-0.30802765,0.6290979,15.654447555541992,1.9448509216308594,5.9905009269714355,0.7731000781059265,3.1889283657073975, -0.25167039036750793
10,1045522432,0.53198373,0.47586694,-0.30803198,0.6290155,15.424875259399414,1.9708703756332397,5.874613285064697,-0.3652755320072174,2.911158800125122, -0.5707533955574036
11,1045539099,0.53212196,0.47571883,-0.3078403,0.6291045,15.54179859161377,1.9248312711715698,5.979323387145996,0.698131799697876,2.842081069946289, -0.46740612387657166
12,1045555766,0.53224516,0.47556242,-0.30763063,0.629221,15.530856132507324,1.9149835109710693,5.896993160247803,1.1230592727661133,2.8552463054656982, -0.5659894347190857
13,1045572433,0.53246826,0.47533464,-0.3075673,0.62923545,15.452816009521484,1.9695346355438232,5.762610912322998,0.7148952484130859,2.8699350357055664, -0.5512236952781677
14,1045589100,0.5326138,0.4751633,-0.3074969,0.6292761,15.471890449523926,1.9056645631790161,5.997750759124756,0.5582096576690674,2.9931325912475586, -0.3833197057247162
15,1045605767,0.53275865,0.4749193,-0.30736598,0.6294014,15.606901168823242,1.8553861379623413,5.848417282104492,0.288712739944458,3.3993492126464844, -0.4322911500930786
16,1045622434,0.5330203,0.4746043,-0.30736926,0.6294159,15.551673889160156,2.008091688156128,5.9847331047058105,-0.12205731123685837,3.5052707195281982, -0.5932156443595886
17,1045639101,0.5329969,0.47452372,-0.30707976,0.6296377,15.510238647460938,2.0414066314697266,5.939700603485107,1.759585976600647,3.293043851852417, -0.4520769417285919
18,1045655768,0.5331448,0.4743231,-0.3069182,0.62974244,15.599720001220703,1.998604655265808,5.8543925285339355,0.2789286971092224,3.332397937774658, -0.577374279499054
19,1045672435,0.53329265,0.4741531,-0.30679616,0.62980497,15.463241577148438,1.8817062377929688,6.039760112762451,0.5087898969650269,3.1422107219696045, -0.434903621673584
20,1045689102,0.53346974,0.47399902,-0.30655897,0.62988615,15.614460945129395,2.1142117977142334,5.823331832885742,1.3376295566558838,3.42549991607666, -0.8948564529418945
21,1045705769,0.5335491,0.47387326,-0.30636147,0.63000965,15.516785621643066,1.8579437732696533,5.997354984283447,0.5705677270889282,3.157667875289917, -0.4298066794872284
22,1045722436,0.5336564,0.47375664,-0.3061646,0.6301024,15.628681182861328,2.162666082382202,5.85420560836792,0.8822613954544067,3.0198588371276855, -0.6687859892845154
23,1045739103,0.5338075,0.47357142,-0.30606005,0.6301644,15.544907569885254,1.9765942096710205,6.0019941329956055,0.2624213397502899,3.1358206272125244, -0.1853335052728653
24,1045755770,0.53389645,0.4734122,-0.3058686,0.6303014,15.512689590454102,2.008920669555664,5.830959796905518,0.5109028816223145,3.296924352645874, -0.22514843940734863
