PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,4071065555,0.60786694,0.20777775,-0.74077004,0.19643344,-0.004361463710665703,-0.02962784469127655,-0.07130938768386841,0.016243793070316315,0.28423815965652466, -0.17308570444583893
2,4071082222,0.60871434,0.20774211,-0.7401243,0.19628146,17.20195770263672,-0.6849044561386108,-3.4080207347869873,0.7460659742355347,2.9317514896392822, 4.047363758087158
3,4071098889,0.6081071,0.20722085,-0.74082464,0.19607213,17.219240188598633,-0.4468807578086853,-3.3649821281433105,0.30315831303596497,2.9098782539367676, 4.1247782707214355
4,4071115556,0.60768473,0.20786384,-0.7411472,0.19548114,17.19919776916504,-0.47147631645202637,-3.3928139209747314,-0.9911088943481445,3.345895528793335, 3.4130136966705322
5,4071132223,0.6073515,0.20853287,-0.7413726,0.19494833,17.37112808227539,-0.3924580216407776,-3.348644733428955,1.207657814025879,3.1406607627868652, 2.918727159500122
6,4071148890,0.60735655,0.20920563,-0.7413225,0.19440174,17.376537322998047,-0.4162185788154602,-3.278043746948242,0.014362320303916931,3.2759218215942383, 2.4523582458496094
7,4071165557,0.60748154,0.20999743,-0.7410006,0.19438508,17.567493438720703,-0.5235021114349365,-3.42313289642334,2.6741645336151123,3.2066268920898438, 2.446326494216919
8,4071182224,0.60762274,0.21022758,-0.740851,0.19426554,17.62020492553711,-0.3876784145832062,-3.215667247772217,2.3527121543884277,2.964740037918091, 2.397700786590576
9,4071198891,0.6079662,0.21045372,-0.74050117,0.19427963,17.530187606811523,-0.47021207213401794,-3.138493299484253,1.404606819152832,3.31079363822937, 2.4286539554595947
10,4071215558,0.608489,0.21022642,-0.74014044,0.19426313,17.542827606201172,-0.4765741527080536,-3.262439012527466,2.0815248489379883,3.5225980281829834, 2.858550548553467
11,4071232225,0.6088672,0.21018091,-0.73979294,0.19445087,17.377220153808594,-0.39717331528663635,-3.2160933017730713,0.11631366610527039,3.0004444122314453, 3.062119722366333
