PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,2340967199,0.585105,0.33018228,-0.16621913,0.7218054,-0.02393999695777893,-0.0363457091152668,-0.035170044749975204,-0.038243796676397324,0.21072718501091003, -0.031713083386421204
2,2340983866,0.5856434,0.33037725,-0.16446619,0.72168106,11.345041275024414,2.631002187728882,12.390727043151855,0.5986776351928711,2.6631762981414795, -0.009182153269648552
3,2341000533,0.5865652,0.3302958,-0.16310585,0.7212784,11.202404022216797,2.2932748794555664,12.257570266723633,0.253943532705307,2.4049620628356934, -0.13094493746757507
4,2341017200,0.5865267,0.3290224,-0.16354056,0.7217931,11.149271965026855,2.5359678268432617,12.216704368591309,0.9667577743530273,2.6652770042419434, -0.16388286650180817
5,2341033867,0.5865818,0.32836887,-0.16340014,0.7220777,11.201393127441406,2.580226182937622,12.318264961242676,1.0073539018630981,2.751091957092285, -0.027072621509432793
6,2341050534,0.5868316,0.32806566,-0.1629475,0.7221148,11.198888778686523,2.3812255859375,12.214798927307129,1.5618047714233398,2.528824806213379, -0.31321772933006287
7,2341067201,0.58684236,0.32772088,-0.16293322,0.7222658,11.184162139892578,2.5588605403900146,12.23961067199707,0.5871390700340271,2.5497634410858154, -0.1187276616692543
8,2341083868,0.5868835,0.32753968,-0.162781,0.7223488,11.181811332702637,2.4747085571289062,12.308688163757324,0.5107364654541016,2.611605405807495, -0.09180872142314911
9,2341100535,0.5870034,0.32734358,-0.16266368,0.72236675,11.048662185668945,2.494197368621826,12.02822494506836,0.7144599556922913,2.364084243774414, -0.15336884558200836
10,2341117202,0.5870268,0.32721388,-0.16247408,0.72244936,11.144108772277832,2.5271472930908203,12.245248794555664,0.7711663842201233,2.866298198699951, 0.05864667892456055
11,2341133869,0.5870356,0.3271615,-0.16220039,0.72252727,11.111334800720215,2.563859224319458,12.191999435424805,1.0220428705215454,2.5578441619873047, -0.4053209722042084
12,2341150536,0.58700377,0.3271246,-0.1619071,0.7226355,11.057881355285645,2.268430233001709,12.162111282348633,1.0078917741775513,2.550006866455078, 0.010213064029812813
13,2341167203,0.58696723,0.32699853,-0.16172189,0.72276384,11.118000030517578,2.5983760356903076,12.151909828186035,1.0621906518936157,2.529362916946411, -0.09320461004972458
14,2341183870,0.5869475,0.3269035,-0.16150786,0.7228707,10.988312721252441,2.42059326171875,12.111198425292969,0.7272278666496277,2.557396173477173, -0.17630504071712494
15,2341200537,0.5869392,0.3268213,-0.16124295,0.7229739,11.058893203735352,2.5324249267578125,12.221359252929688,1.403364658355713,2.6368210315704346, -0.16668744385242462
16,2341217204,0.58698565,0.32670206,-0.1610286,0.7230377,11.119762420654297,2.378506898880005,12.103201866149902,0.8124156594276428,2.4667911529541016, -0.2671660780906677
17,2341233871,0.5869763,0.3266005,-0.16083172,0.72313505,11.0176420211792,2.33811092376709,12.01285457611084,0.772818386554718,2.438681125640869, -0.4133761525154114
18,2341250538,0.58700037,0.3265073,-0.16066213,0.72319525,10.967827796936035,2.535428047180176,12.082058906555176,1.1059499979019165,2.438450574874878, -0.37613528966903687
19,2341267205,0.58700764,0.3263912,-0.16045636,0.7232873,10.98481559753418,2.525918483734131,12.124110221862793,1.1255180835723877,2.6757652759552, -0.07822118699550629
20,2341283872,0.586972,0.32632032,-0.16023438,0.72339743,10.8887300491333,2.502938985824585,11.98439884185791,1.0581823587417603,2.3470773696899414, -0.19806301593780518
21,2341300539,0.58700776,0.3262016,-0.16006763,0.7234589,10.934650421142578,2.535982370376587,11.955646514892578,0.6920487284660339,2.3933722972869873, -0.08724966645240784
