PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,2186694889,0.687331,0.3713,-0.42926118,0.45326272,-0.058327123522758484,-0.1115221381187439,-0.18135705590248108,-0.22579248249530792,0.601672887802124, 0.007613527588546276
2,2186711556,0.68525416,0.3702745,-0.43006316,0.45647484,15.946945190429688,2.0412912368774414,6.16461181640625,1.8214020729064941,1.8331584930419922, 0.3856695890426636
3,2186728223,0.68539596,0.36979666,-0.4297968,0.45690015,16.207624435424805,2.1257805824279785,6.1381354331970215,-0.030504722148180008,1.7211540937423706, 0.45583558082580566
4,2186744890,0.6854766,0.37043852,-0.42957717,0.4564655,15.532755851745605,1.6286447048187256,5.8897809982299805,1.0760728120803833,1.6941713094711304, 0.7948453426361084
5,2186761557,0.68488765,0.36992753,-0.43028164,0.4571001,15.834086418151855,2.050185203552246,6.0940446853637695,0.3235588073730469,1.9955428838729858, 0.4559380114078522
6,2186778224,0.6844557,0.37005803,-0.43010023,0.45781162,16.317100524902344,1.9787087440490723,6.208696365356445,-0.49985742568969727,1.7700231075286865, 0.8380411267280579
7,2186794891,0.68470436,0.3696306,-0.43042663,0.45747814,15.364116668701172,1.8378719091415405,5.909769535064697,0.03225279226899147,1.8177523612976074, 0.8483117818832397
8,2186811558,0.68415827,0.36998656,-0.42990085,0.45850044,16.015771865844727,2.004006862640381,6.156387805938721,-0.13588818907737732,2.0817747116088867, 0.37508517503738403
9,2186828225,0.6836876,0.37031162,-0.4293927,0.4594156,16.019256591796875,1.8821941614151,6.129823207855225,-0.440704882144928,1.8071871995925903, 0.9253804087638855
10,2186844892,0.68378496,0.37008762,-0.4294102,0.45943466,15.79609489440918,1.9059184789657593,6.065517425537109,-0.5041859745979309,1.5299811363220215, 0.5487073063850403
11,2186861559,0.6834935,0.37023532,-0.42907068,0.4600663,15.998781204223633,1.9595448970794678,6.1077880859375,0.30050739645957947,1.8007584810256958, 0.8868973255157471
12,2186878226,0.6833967,0.3702592,-0.4288657,0.46038193,15.88294506072998,2.0014758110046387,6.062547206878662,0.38625869154930115,1.79799222946167, 0.721336841583252
13,2186894893,0.68376493,0.36989066,-0.42899406,0.4600115,15.776362419128418,1.7747597694396973,5.9801130294799805,0.7978804111480713,1.997668981552124, 0.9577293395996094
14,2186911560,0.68384624,0.36967978,-0.4289956,0.46005884,16.20050811767578,1.9611608982086182,6.2249369621276855,-0.2517344653606415,1.991650104522705, 0.8656132817268372
15,2186928227,0.6833162,0.37006995,-0.42852136,0.46097383,16.060579299926758,1.9298146963119507,6.1221818923950195,0.14421869814395905,1.661758303642273, 0.864204466342926
16,2186944894,0.6831617,0.37014127,-0.4282814,0.4613683,15.818955421447754,1.8266338109970093,5.991056442260742,1.3161661624908447,2.1133103370666504, 1.0762009620666504
17,2186961561,0.68361795,0.36962754,-0.42852026,0.4608821,15.990235328674316,2.089630603790283,6.168172836303711,0.13483165204524994,2.2455358505249023, 0.5962957739830017
18,2186978228,0.68357193,0.3695722,-0.42834228,0.4611603,16.2204647064209,1.9629185199737549,6.201210975646973,-0.2234964221715927,2.221587896347046, 0.927826464176178
19,2186994895,0.6835885,0.3695101,-0.42822027,0.46129888,16.09530258178711,1.8510507345199585,6.129393577575684,1.104963779449463,2.061995029449463, 1.0570039749145508
20,2187011562,0.6837797,0.36925197,-0.42826834,0.46117753,15.763579368591309,2.0330944061279297,6.0309672355651855,0.22817714512348175,1.982762336730957, 0.8288590312004089
21,2187028229,0.6838359,0.36914387,-0.42817035,0.46127164,16.30522918701172,1.897523283958435,6.303415298461914,-0.038022056221961975,2.050431251525879, 0.7366660833358765
22,2187044896,0.68381727,0.36913,-0.4280207,0.4614493,16.52584457397461,1.9344433546066284,6.286595344543457,1.1764874458312988,1.9181417226791382, 0.9102433919906616
23,2187061563,0.6840289,0.36881492,-0.42810985,0.46130475,15.8231782913208,1.8630151748657227,5.975022315979004,0.068187415599823,1.9634759426116943, 1.1035935878753662
24,2187078230,0.6843743,0.3684889,-0.4281385,0.46102628,16.162677764892578,2.0045220851898193,6.239834785461426,0.08320925384759903,2.480788469314575, 0.13200144469738007
25,2187094897,0.6843532,0.36840206,-0.42796138,0.4612914,16.91663932800293,2.0170109272003174,6.446715354919434,-0.32602402567863464,2.373816967010498, 0.8539721965789795
26,2187111564,0.6843662,0.368322,-0.42781842,0.46146852,15.835875511169434,1.790778398513794,6.014779090881348,0.24879537522792816,2.2139170169830322, 0.7754181027412415
27,2187128231,0.68423903,0.3684573,-0.42748943,0.4618539,16.526201248168945,2.0044338703155518,6.36552619934082,1.1643340587615967,2.3510215282440186, 0.35137417912483215
28,2187144898,0.6842312,0.3683232,-0.42736864,0.46208426,16.263917922973633,2.090935707092285,6.252687931060791,-1.879267692565918,2.1129770278930664, 0.4484207034111023
29,2187161565,0.6842444,0.36838254,-0.4271392,0.4622295,16.123838424682617,1.7422311305999756,6.184662818908691,1.3124908208847046,2.1071248054504395, 0.12544460594654083
30,2187178232,0.68436855,0.36827257,-0.42701802,0.4622453,16.476890563964844,2.2763147354125977,6.303389072418213,1.0491282939910889,2.3039839267730713, 0.40167754888534546
31,2187194899,0.6845222,0.36810303,-0.4269781,0.46218964,16.389122009277344,1.8313320875167847,6.162495136260986,-0.06828346103429794,1.6837981939315796, 0.3092285394668579
32,2187211566,0.6845828,0.36802873,-0.4267919,0.46233118,16.07436180114746,2.062701463699341,6.219685077667236,0.6379290819168091,1.8686832189559937, 0.3166177570819855
33,2187228233,0.6847224,0.3677587,-0.42669222,0.46243104,16.60834503173828,1.9975059032440186,6.373263359069824,-0.5465750098228455,2.114193916320801, 0.7803741693496704
34,2187244900,0.6846827,0.36765942,-0.4264599,0.46278313,16.454782485961914,2.078653335571289,6.283176422119141,-0.33186379075050354,2.0128703117370605, 0.8123388290405273
35,2187261567,0.68504965,0.36716142,-0.42657515,0.46252912,16.150148391723633,1.8697954416275024,6.156376361846924,-0.6872143745422363,1.9335602521896362, 0.8644862771034241
36,2187278234,0.68528956,0.36680445,-0.42652783,0.46250066,16.59515380859375,2.0680785179138184,6.391032695770264,0.3607228398323059,2.311232328414917, 1.0614349842071533
37,2187294901,0.68535995,0.36654192,-0.42643005,0.46269435,16.62399673461914,1.992426872253418,6.38836145401001,-0.05587410554289818,2.062840461730957, 1.4089995622634888
38,2187311568,0.68554914,0.3662163,-0.42639992,0.46270004,16.102766036987305,2.0209808349609375,6.148614883422852,-0.13506856560707092,1.9677917957305908, 1.0103378295898438
39,2187328235,0.6855534,0.3660624,-0.42620096,0.46299854,16.402498245239258,1.7849200963974,6.306159019470215,-0.334489107131958,2.0791940689086914, 0.9064911007881165
40,2187344902,0.6855547,0.36593273,-0.42597467,0.4633071,16.64658546447754,2.112715005874634,6.482635498046875,0.7241414189338684,2.242769479751587, 1.1463028192520142
41,2187361569,0.68564814,0.36573625,-0.42590937,0.4633842,16.636449813842773,1.7997983694076538,6.306798458099365,0.3546654284000397,1.5414938926696777, 0.9157500267028809
42,2187378236,0.6857733,0.3655069,-0.42584616,0.46343803,16.444780349731445,1.9822381734848022,6.298895359039307,1.6621425151824951,1.8591811656951904, 1.4524002075195312
43,2187394903,0.68585753,0.36535373,-0.42568585,0.46358156,16.219099044799805,2.0370476245880127,6.269493103027344,0.6500824093818665,1.944240927696228, 0.7217082977294922
44,2187411570,0.68575674,0.36534137,-0.42539072,0.464011,17.19854736328125,1.9043647050857544,6.531135559082031,2.015392780303955,2.1888418197631836, 1.495416522026062
45,2187428237,0.6859892,0.36493814,-0.425384,0.46399072,16.39137077331543,2.2656428813934326,6.242064952850342,-0.8112438321113586,2.163613796234131, 1.0191742181777954
46,2187444904,0.6859386,0.36486343,-0.42506886,0.46441296,16.212989807128906,1.6883544921875,6.1505842208862305,0.6107797026634216,2.497039794921875, 1.0213384628295898
47,2187461571,0.6859818,0.36468616,-0.42482555,0.4647109,16.738788604736328,2.2070164680480957,6.508917808532715,0.33557119965553284,2.568089485168457, 1.0295088291168213
48,2187478238,0.6861777,0.3643402,-0.4247904,0.46472526,16.676252365112305,1.8926465511322021,6.315561771392822,-0.3997758626937866,2.0798728466033936, 1.0099152326583862
49,2187494905,0.68637997,0.36406675,-0.4247178,0.46470723,16.50205421447754,1.8986984491348267,6.32280158996582,1.920113444328308,2.1882269382476807, 1.3309574127197266
50,2187511572,0.6864316,0.36387846,-0.42455494,0.4649272,16.946739196777344,2.090074300765991,6.4708404541015625,-0.05198097601532936,2.073841094970703, 0.9390320181846619
51,2187528239,0.686591,0.36358833,-0.4244454,0.46501878,16.474201202392578,1.852150559425354,6.323215484619141,0.21713805198669434,2.319530725479126, 1.0601928234100342
52,2187544906,0.68694466,0.36313197,-0.42439732,0.4648969,16.622785568237305,2.0662384033203125,6.40238094329834,-0.47871413826942444,2.7517964839935303, 0.6411818861961365
53,2187561573,0.687124,0.36279663,-0.4242905,0.4649911,17.268020629882812,1.8996630907058716,6.632326602935791,-0.6120666265487671,2.4530115127563477, 0.9194254279136658
54,2187578240,0.6871866,0.36265218,-0.42411384,0.46517274,16.666370391845703,1.9679731130599976,6.409212112426758,0.9177989959716797,2.035217046737671, 0.9147896766662598
55,2187594907,0.68752277,0.36230284,-0.4240833,0.46497583,16.574377059936523,2.0604255199432373,6.39439582824707,0.6014181971549988,2.181644916534424, 0.40974554419517517
56,2187611574,0.6877199,0.3619623,-0.42402688,0.4650011,17.323522567749023,2.02740478515625,6.7320942878723145,-0.29982227087020874,2.1975505352020264, 0.9863643050193787
57,2187628241,0.68777287,0.36179954,-0.4238781,0.46518514,16.680187225341797,1.9054030179977417,6.364874362945557,0.9991706609725952,1.9672026634216309, 1.178011417388916
58,2187644908,0.68785715,0.3616273,-0.42371526,0.46534246,17.167722702026367,2.0840673446655273,6.56610107421875,1.0692468881607056,2.116307020187378, 1.0376536846160889
59,2187661575,0.68799525,0.3613195,-0.42366844,0.46542004,16.924358367919922,2.0543787479400635,6.456751346588135,0.2677103579044342,2.0261502265930176, 1.4129693508148193
60,2187678242,0.6880798,0.3611133,-0.42348444,0.4656224,16.869157791137695,1.9351067543029785,6.455606937408447,0.4628406763076782,2.369962215423584, 1.033734917640686
61,2187694909,0.68819636,0.360869,-0.4233234,0.46578652,17.3708553314209,2.0963973999023438,6.627266883850098,1.0100687742233276,2.4916739463806152, 1.3297024965286255
62,2187711576,0.6883582,0.36054856,-0.4232556,0.46585688,16.49156379699707,1.8894529342651367,6.318517684936523,-0.8842529058456421,2.0982117652893066, 0.84188312292099
63,2187728243,0.68847924,0.3603357,-0.42303607,0.46604213,17.45876121520996,1.9644811153411865,6.712038516998291,0.7624324560165405,2.660013198852539, 0.9161598682403564
64,2187744910,0.68857735,0.36011833,-0.4228919,0.46619564,16.980012893676758,2.1700942516326904,6.492534160614014,0.05970960855484009,2.1268081665039062, 0.869096577167511
65,2187761577,0.6887651,0.35987797,-0.42274988,0.46623275,16.518213272094727,1.831863522529602,6.414796352386475,0.4565655589103699,2.2813422679901123, 0.5561349391937256
66,2187778244,0.688949,0.35958922,-0.4226048,0.46631542,17.45073127746582,2.2658236026763916,6.736469745635986,-0.22107599675655365,2.484668731689453, 0.6639260053634644
67,2187794911,0.6891369,0.3592544,-0.4225866,0.4663125,17.290830612182617,1.9889627695083618,6.622979640960693,-0.15242117643356323,1.9363394975662231, 1.0981382131576538
68,2187811578,0.68923336,0.35916033,-0.4223329,0.46647212,16.825525283813477,2.0436253547668457,6.488697528839111,2.208205223083496,2.3913233280181885, 0.782282292842865
69,2187828245,0.6893495,0.35891035,-0.42215484,0.46665406,17.718263626098633,2.1710376739501953,6.7475762367248535,0.13516461849212646,2.524611711502075, 0.9986711144447327
70,2187844912,0.68939394,0.35867676,-0.4219995,0.4669085,17.04764747619629,1.7816256284713745,6.51546573638916,0.2153579741716385,2.3033180236816406, 1.450709581375122
71,2187861579,0.6895752,0.35836253,-0.42187685,0.4669928,17.22958755493164,2.2767927646636963,6.7105231285095215,-0.9469911456108093,2.4025542736053467, 0.5824391841888428
72,2187878246,0.6896001,0.35820746,-0.4216416,0.46728763,17.64504623413086,1.9732555150985718,6.775503158569336,0.9949830174446106,2.4729256629943848, 1.275147557258606
73,2187894913,0.6896526,0.357994,-0.4215182,0.46748486,16.68558692932129,1.8917256593704224,6.4152750968933105,-0.03964846208691597,1.966293215751648, 1.1474168300628662
74,2187911580,0.6897412,0.35782903,-0.42129496,0.46768168,17.282793045043945,2.1074931621551514,6.771627426147461,1.163219928741455,2.4688785076141357, 0.9573579430580139
75,2187928247,0.68978655,0.35762802,-0.4211866,0.4678663,17.75778579711914,2.065166473388672,6.774519920349121,0.10850180685520172,1.8212103843688965, 1.179266333580017
76,2187944914,0.6897518,0.35751542,-0.42103508,0.46813965,17.154197692871094,1.8315659761428833,6.549254894256592,0.8577245473861694,1.702905297279358, 1.3828233480453491
77,2187961581,0.6897953,0.35739636,-0.42080107,0.46837687,17.082292556762695,2.0610313415527344,6.579384803771973,0.8593765497207642,2.26162052154541, 0.8010308146476746
78,2187978248,0.68991107,0.35712627,-0.420652,0.4685462,17.80705451965332,2.2088916301727295,6.829223155975342,-0.4596199095249176,2.3942432403564453, 0.912907063961029
79,2187994915,0.68996286,0.35694376,-0.42046356,0.46877798,17.04734230041504,1.9926424026489258,6.47684907913208,0.42380690574645996,2.270559310913086, 1.0693238973617554
80,2188011582,0.68999064,0.35682678,-0.4202279,0.46903738,17.51694679260254,1.9075267314910889,6.7534942626953125,1.0245399475097656,2.2839162349700928, 0.9726614356040955
81,2188028249,0.6900474,0.35662386,-0.42013347,0.46919298,17.626466751098633,2.2290596961975098,6.694598197937012,-0.21997466683387756,1.7205009460449219, 0.9753764271736145
82,2188044916,0.6900443,0.35652,-0.41992947,0.4694589,16.816762924194336,1.697332739830017,6.465994834899902,1.1023129224777222,2.0260093212127686, 1.1554336547851562
83,2188061583,0.69010776,0.3563732,-0.419703,0.46967962,17.801855087280273,2.3204476833343506,6.928893566131592,0.6666537523269653,2.352635383605957, 0.7857527732849121
84,2188078250,0.69017243,0.3560357,-0.41969964,0.4698436,17.407108306884766,1.9573233127593994,6.63332986831665,-1.0728776454925537,1.7810238599777222, 1.6384507417678833
85,2188094917,0.6901727,0.3559477,-0.41946125,0.47012255,17.138877868652344,1.903182029724121,6.596950531005859,1.3018871545791626,2.1828229427337646, 1.0712319612503052
86,2188111584,0.69030595,0.3556858,-0.41930443,0.47026497,17.846609115600586,2.2149887084960938,6.893924713134766,-0.5112550854682922,2.409034252166748, 0.6903710961341858
87,2188128251,0.69032246,0.355536,-0.41911897,0.47051924,17.752010345458984,1.9146091938018799,6.804705619812012,0.7062638401985168,2.1207892894744873, 1.2031757831573486
88,2188144918,0.69039404,0.35535288,-0.41892442,0.47072572,17.035526275634766,1.922414779663086,6.563282012939453,0.36984097957611084,2.3235905170440674, 0.8974754214286804
89,2188161585,0.69054544,0.35507616,-0.41875368,0.47086442,18.054115295410156,2.2081165313720703,6.9877424240112305,-0.567270040512085,2.5771689414978027, 0.63444584608078
90,2188178252,0.69060946,0.3548795,-0.41859138,0.47106314,17.62162971496582,1.9430792331695557,6.707460403442383,0.20215465128421783,2.1790452003479004, 1.010401725769043
91,2188194919,0.6906581,0.3547513,-0.41834307,0.47130874,17.16733741760254,1.9819118976593018,6.642477035522461,0.9025850892066956,2.4309592247009277, 0.8402053713798523
92,2188211586,0.6907711,0.35452986,-0.41816366,0.47146896,17.74772834777832,2.134256601333618,6.831099033355713,-0.1373993307352066,2.383742094039917, 0.6747857928276062
93,2188228253,0.69081384,0.3543241,-0.4180618,0.47165135,17.792661666870117,1.9039860963821411,6.819984436035156,-0.10782947391271591,1.8127068281173706, 1.1412187814712524
94,2188244920,0.6908147,0.35423142,-0.41783696,0.47191888,17.319923400878906,2.078791856765747,6.617431163787842,1.182403802871704,2.116934299468994, 1.0568119287490845
95,2188261587,0.690906,0.35404876,-0.41766176,0.47207752,17.603225708007812,1.9865282773971558,6.716601848602295,0.07065903395414352,2.168480157852173, 0.6309753656387329
96,2188278254,0.6909316,0.35389566,-0.41746536,0.47232836,17.86455726623535,2.109548807144165,6.878707408905029,0.6921639442443848,2.208704710006714, 1.1398227214813232
97,2188294921,0.6909888,0.35372946,-0.4172784,0.4725343,17.512990951538086,2.02309250831604,6.684882640838623,0.4354863464832306,2.191941261291504, 0.9046213030815125
98,2188311588,0.69106406,0.35357922,-0.41712165,0.47267535,17.608623504638672,1.858988881111145,6.789695739746094,0.15662802755832672,1.889326810836792, 0.5533174872398376
99,2188328255,0.6911553,0.35340065,-0.41693318,0.47284147,17.53720474243164,2.2144014835357666,6.8426642417907715,0.14872653782367706,2.238210678100586, 0.6184763312339783
100,2188344922,0.6912171,0.35332254,-0.41671962,0.47299784,17.9670352935791,1.909113883972168,6.7791008949279785,0.7558627128601074,1.9232255220413208, 0.3250443637371063
101,2188361589,0.69129187,0.35315165,-0.41656786,0.47314996,17.41451072692871,2.1356918811798096,6.820552825927734,0.06837949901819229,1.962143898010254, 0.6752339601516724
102,2188378256,0.69141513,0.35302994,-0.41636524,0.473239,17.36052894592285,1.9039374589920044,6.661123752593994,0.20166797935962677,2.033219337463379, -0.029249701648950577
103,2188394923,0.69147575,0.35289633,-0.41617814,0.47341445,18.37946128845215,2.1686184406280518,7.0521087646484375,0.4862891435623169,2.0298385620117188, 0.6528486013412476
104,2188411590,0.6915074,0.35277697,-0.41604435,0.47357476,17.16423797607422,1.8758913278579712,6.570827484130859,0.38846132159233093,1.6116468906402588, 0.757181704044342
105,2188428257,0.69159645,0.3526719,-0.4158005,0.47373694,17.330310821533203,2.0130598545074463,6.693063259124756,0.6747602224349976,2.2594692707061768, 0.26671144366264343
106,2188444924,0.6917061,0.35250401,-0.4155885,0.47388807,18.074949264526367,2.2146639823913574,6.971712112426758,0.18961721658706665,2.3465394973754883, 0.40453338623046875
107,2188461591,0.6917803,0.35228473,-0.41552255,0.47400078,17.4068660736084,1.8093466758728027,6.680598735809326,-0.5270837545394897,1.63107430934906, 0.8544972538948059
108,2188478258,0.69174635,0.3523706,-0.41517213,0.47429332,17.3640079498291,2.0699503421783447,6.773700714111328,2.5916144847869873,2.1154870986938477, 0.482703298330307
