PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,707144139,0.61136883,0.40766504,-0.35487628,0.5780141,-0.008717907592654228,-0.03924006596207619,0.02003549598157406,0.002772789215669036,0.10708630084991455, -0.07340547442436218
2,707160806,0.6124475,0.40916094,-0.35341793,0.5767071,16.244007110595703,1.411170244216919,7.262323379516602,0.2644895017147064,2.881441354751587, 1.8397216796875
3,707177473,0.61190134,0.40926558,-0.3544589,0.57657385,15.864361763000488,1.877798080444336,7.281562328338623,1.9312552213668823,3.445286273956299, 1.503894567489624
4,707194140,0.612715,0.40939027,-0.35422605,0.57576376,16.048927307128906,1.4458729028701782,7.229213237762451,0.7123339176177979,3.7933881282806396, 1.4952372312545776
5,707210807,0.612891,0.40893298,-0.35469168,0.57561475,15.650208473205566,1.9221994876861572,7.17660665512085,-0.07316268235445023,3.7242982387542725, 1.24649977684021
6,707227474,0.6131518,0.40895757,-0.35419667,0.57562447,16.128576278686523,1.6644933223724365,7.202662944793701,0.47011470794677734,4.064511775970459, 1.977486252784729
7,707244141,0.6133642,0.4088312,-0.3540225,0.5755949,16.034900665283203,1.7535110712051392,7.314424991607666,1.034746766090393,4.711450576782227, 2.2701756954193115
8,707260808,0.6136852,0.40860012,-0.35376266,0.5755766,15.964432716369629,1.633612036705017,7.344579219818115,1.0312505960464478,4.969395637512207, 1.933790922164917
9,707277475,0.61383456,0.40833667,-0.35345057,0.5757961,15.69701099395752,1.8743079900741577,7.336950778961182,0.754287600517273,4.54231595993042, 1.6952084302902222
10,707294142,0.61414576,0.40795246,-0.3532117,0.57588315,15.870020866394043,1.8739302158355713,7.339040279388428,-0.7481981515884399,3.768057107925415, 2.154085636138916
11,707310809,0.61463475,0.40742812,-0.35310364,0.57579905,16.140880584716797,1.6709822416305542,7.400423049926758,-0.7989625930786133,3.8483402729034424, 2.7826600074768066
