PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,2961619180,0.7314499,0.31944945,-0.4517555,0.39856023,-0.1865842491388321,-0.07699161767959595,-0.075555220246315,-0.06127722188830376,0.39337900280952454, -0.28659164905548096
2,2961635847,0.7319755,0.31974462,-0.45114315,0.3980517,15.452593803405762,1.7697283029556274,6.504131317138672,0.7450156807899475,3.5779595375061035, 2.1538164615631104
3,2961652514,0.73220134,0.31920698,-0.45132068,0.3978666,15.333830833435059,1.8755595684051514,6.515416622161865,-0.19538646936416626,3.637406587600708, 1.9820066690444946
4,2961669181,0.73254573,0.31886718,-0.45118383,0.39766026,15.414417266845703,1.871339201927185,6.492705345153809,0.5356448292732239,3.463932514190674, 2.062495231628418
5,2961685848,0.73281753,0.31857526,-0.4511463,0.3974361,15.499926567077637,1.738071322441101,6.657052993774414,0.12778815627098083,3.5029399394989014, 2.190596342086792
6,2961702515,0.7329766,0.31807894,-0.4509984,0.39770806,15.39784049987793,1.8875082731246948,6.471617698669434,0.7928090691566467,3.463022470474243, 2.3195180892944336
7,2961719182,0.73326033,0.31757373,-0.45102763,0.39755535,15.303438186645508,1.7489148378372192,6.531383514404297,-0.16668744385242462,3.45660662651062, 2.172872543334961
8,2961735849,0.7334045,0.3171474,-0.45095807,0.3977087,15.387900352478027,1.8177028894424438,6.503637790679932,0.6408745050430298,3.4548521041870117, 2.4231085777282715
9,2961752516,0.7335078,0.31681928,-0.4508851,0.39786252,15.241182327270508,1.871396780014038,6.450791358947754,0.800889790058136,3.3721487522125244, 2.300065040588379
10,2961769183,0.73372287,0.31640115,-0.45089138,0.39779162,15.341277122497559,1.5843294858932495,6.471475601196289,-0.00034577149199321866,3.321256637573242, 2.326024055480957
11,2961785850,0.7339141,0.31586704,-0.45097977,0.39776322,15.240575790405273,1.8211417198181152,6.496020317077637,0.5812482237815857,3.503516435623169, 2.397777557373047
12,2961802517,0.73395056,0.31555045,-0.4509191,0.39801595,15.280545234680176,1.7744249105453491,6.445609092712402,0.0931854173541069,3.2702748775482178, 2.326753854751587
13,2961819184,0.73399544,0.31524402,-0.45085466,0.39824882,15.439495086669922,1.7222565412521362,6.563336372375488,0.4406728744506836,3.4095046520233154, 2.455214023590088
14,2961835851,0.73405033,0.3149168,-0.45073164,0.39854592,15.215770721435547,1.7013037204742432,6.461858749389648,0.15044260025024414,3.800431728363037, 2.34059739112854
15,2961852518,0.73389703,0.31485042,-0.45048314,0.399161,15.237879753112793,1.7324178218841553,6.487730026245117,0.8444443941116333,3.4579131603240967, 2.3565285205841064
16,2961869185,0.73401856,0.3144767,-0.45040998,0.3993146,15.405349731445312,1.6816149950027466,6.569759368896484,0.32099756598472595,3.615175247192383, 2.2080771923065186
17,2961885852,0.7341138,0.31413862,-0.4502794,0.3995526,15.237491607666016,1.7401174306869507,6.538471221923828,0.19495746493339539,3.7643563747406006, 2.049419403076172
18,2961902519,0.73414576,0.31383687,-0.45014566,0.3998816,15.254476547241211,1.6338577270507812,6.433659553527832,0.02537578158080578,3.49756121635437, 2.3302369117736816
19,2961919186,0.7340488,0.3136813,-0.44994137,0.4004116,14.980435371398926,1.6953948736190796,6.3696465492248535,0.9653489589691162,3.480708360671997, 2.6200320720672607
